org_id,manufacturer,film_name,film_key,source_count,source_manufacturer,source_film_name,has_film_signal
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 70,3M SOLAR|PR 70,68,3M Solar,3M PR 70,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,NV 15,3M SOLAR|NV 15,65,3M Solar,3M NV 15,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Security,3M S140,SECURITY|3M S140,57,Security,3M S140,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 50,3M SOLAR|PR 50,48,3M Solar,3M PR 50,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,NV 25,3M SOLAR|NV 25,34,3M Solar,3M NV 25,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Avery Dennison,Optitune 05,AVERY DENNISON|OPTITUNE 05,31,Avery Dennison,Avery Optitune 05,false
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Security,3M S70,SECURITY|3M S70,31,Security,3M S70,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Security,3M S2400,SECURITY|3M S2400,25,Security,3M S2400,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 15,SOLAR GARD|TRUEVUE 15,25,Solar Gard,SG Truevue 15,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Glace SH2MAGL,3M FASARA|GLACE SH2MAGL,21,3M Fasara,3M Fasara Glace SH2MAGL,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,NV 35,3M SOLAR|NV 35,21,3M Solar,3M NV 35,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 70 EXT,3M SOLAR|PR 70 EXT,21,3M Solar,3M PR 70 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,Affinity 15,3M SOLAR|AFFINITY 15,19,3M Solar,3M Affinity 15,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Slate 10,SOLAR GARD|SLATE 10,19,Solar Gard,SG Slate 10,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 40 EXT,3M SOLAR|PR 40 EXT,18,3M Solar,3M PR 40 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Slate 40,SOLAR GARD|SLATE 40,16,Solar Gard,SG Slate 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 20,3M SOLAR|PR 20,15,3M Solar,3M PR 20,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 20 EXT,3M SOLAR|PR 20 EXT,15,3M Solar,3M PR 20 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Slate 20,SOLAR GARD|SLATE 20,15,Solar Gard,SG Slate 20,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Slate 30,SOLAR GARD|SLATE 30,13,Solar Gard,SG Slate 30,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,White Matte SXWFWM,SOLYX|WHITE MATTE SXWFWM,13,Solyx,Solyx White Matte SXWFWM,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 60,3M SOLAR|PR 60,11,3M Solar,3M PR 60,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Blackout SXWFBO,SOLYX|BLACKOUT SXWFBO,11,Solyx,Solyx Blackout SXWFBO,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 40,3M SOLAR|PR 40,10,3M Solar,3M PR 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,Vista 58 (v58),LLUMAR|VISTA 58 (V58),10,Llumar,Llumar Vista 58 (V58),true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M SH2FGCN Cloud Narrow White,3M FASARA|3M SH2FGCN CLOUD NARROW WHITE,8,3M Fasara,3M SH2FGCN Cloud Narrow White,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fine Crystal SH2FNCR,3M FASARA|FINE CRYSTAL SH2FNCR,8,3M Fasara,3M Fasara Fine Crystal SH2FNCR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 30,SOLAR GARD|TRUEVUE 30,8,Solar Gard,SG Truevue 30,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Frost Opaque White SH2MAOW,3M FASARA|FROST OPAQUE WHITE SH2MAOW,7,3M Fasara,3M Fasara Frost Opaque White SH2MAOW,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Mat Crystal SH2MACR-I,3M FASARA|MAT CRYSTAL SH2MACR-I,7,3M Fasara,3M Fasara Mat Crystal SH2MACR-I,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,Thinsulate 75,3M SOLAR|THINSULATE 75,7,3M Solar,3M Thinsulate 75,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,V45,LLUMAR|V45,7,Llumar,V45,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 40,SOLAR GARD|TRUEVUE 40,7,Solar Gard,SG TrueVue 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Matte Crystal SH2MACR1,3M FASARA|3M MATTE CRYSTAL SH2MACR1,6,3M Fasara,3M Matte Crystal SH2MACR1,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Milky Crystal SH2MLCRX,3M FASARA|MILKY CRYSTAL SH2MLCRX,6,3M Fasara,3M Fasara Milky Crystal SH2MLCRX,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Shutie Vertical SH2FGST,3M FASARA|SHUTIE VERTICAL SH2FGST,6,3M Fasara,3M Fasara Shutie Vertical SH2FGST,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,Affinity 30,3M SOLAR|AFFINITY 30,6,3M Solar,3M Affinity 30,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Milky Frost SXMD8303,SOLYX|MILKY FROST SXMD8303,6,Solyx,Solyx Milky Frost SXMD8303,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Total Light Blockout White SXF-5050,SOLYX|TOTAL LIGHT BLOCKOUT WHITE SXF-5050,6,Solyx,Solyx Total Light Blockout White SXF-5050,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Border Leise Horiz. SH2FGLS,3M FASARA|BORDER LEISE HORIZ. SH2FGLS,5,3M Fasara,3M Fasara Border Leise Horiz. SH2FGLS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Mare SH2FGMR,3M FASARA|MARE SH2FGMR,5,3M Fasara,3M Fasara Mare SH2FGMR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Straight Washi SH2FGSW,3M FASARA|STRAIGHT WASHI SH2FGSW,5,3M Fasara,3M Fasara Straight Washi SH2FGSW,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,3036 3M PR40,3M SOLAR|3036 3M PR40,5,3M Solar,3036 3M PR40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,White Out NRMW PS3,LLUMAR|WHITE OUT NRMW PS3,5,Llumar,Llumar White Out NRMW PS3,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Panorama Slate 10,SOLAR GARD|PANORAMA SLATE 10,5,Solar Gard,SG Panorama Slate 10,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 5,SOLAR GARD|TRUEVUE 5,5,Solar Gard,SG TrueVue 5,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Fine Crystal Frost SX-1309,SOLYX|FINE CRYSTAL FROST SX-1309,5,Solyx,Solyx Fine Crystal Frost SX-1309,true
