manufacturer,alias_film_name,canonical_film_name,reason,notes
"3M Fasara","- Fasara Cloud Narrow Gray","Cloud Narrow Light Gray SH2FGCNL","manual_name_override",""
"3M Fasara","""illumina BLACK (gradient) SH2BKIM","Illumina Black SH2BKIM","code_match",""
"3M Fasara","3532 3M Milano","Milano Milky White SH2MAML","manual_name_override",""
"3M Fasara","3M Arpa SH2FGAP","Arpa SH2FGAP","code_match",""
"3M Fasara","3M Buck Pearl + Gray SH2FGBUG","Buckram Pearl + Gray SH2FGBUG","code_match",""
"3M Fasara","3M Cloud SH2FGCL","Cloud SH2FGCL","code_match",""
"3M Fasara","3M Emboss Cross Hairline Matte Light Gray SH2CHMAL","Cross Hairline Matte Light Gray SH2CHMAL","code_match",""
"3M Fasara","3M Emboss-hairline Matte SH2HLMA","Hairline Matte SH2HLMA","code_match",""
"3M Fasara","3M Fabric-sensai Linen Champagne Gold SH2CSSEC","Sensai Linen Champagne Gold SH2CSSEC","code_match",""
"3M Fasara","3M Frost Opaque Black SH2BKOP","Opaque Black SH2BKOP","code_match",""
"3M Fasara","3M Gradient Sabrina SH2FGSB","Sabrina SH2FGSB","code_match",""
"3M Fasara","3M Lontano SH2FGLO","Lontano SH2FGLO","code_match",""
"3M Fasara","3M Matte Crystal SH2MACR1","Matte Crystal SH2MACR-I","manual_code_override",""
"3M Fasara","3M Milano","Milano Milky White SH2MAML","manual_name_override",""
"3M Fasara","3M Oslo SH2EMOS","Oslo SH2EMOS","code_match",""
"3M Fasara","3M San Marino Milky Milky Dark Gray SH2MAMMD","San Marino Milky Milky Dark Gray SH2MAMMD","code_match",""
"3M Fasara","3M SH2-MAMM San Marino Milky Milky","San Marino Milky Milky SH2MAMM","manual_code_override",""
"3M Fasara","3M SH2FGCN Cloud Narrow White","Cloud Narrow SH2FGCN","code_match",""
"3M Fasara","3M Stripe-fine Vertical SH2FGFN","Fine SH2FGFN","code_match",""
"3M Fasara","3M Venetian SH2FGVN","Venetian SH2FGVN","code_match",""
"3M Fasara","3M Weave Pearl SH2EMWP","Weave Pearl SH2EMWP","code_match",""
"3M Fasara","ALTAIR SH2FGAT","Altair SH2FGAT","code_match",""
"3M Fasara","Astral Silver","Astral Silver SH2CSAS","manual_name_override",""
"3M Fasara","AURA 9 SH2PCA9","Aura 9 SH2PCA9","code_match",""
"3M Fasara","Border Leise Horiz. SH2FGLS","Leise SH2FGLS","code_match",""
"3M Fasara","Border Paracell Horizontal SH2FGPR","Paracell SH2FGPR","code_match",""
"3M Fasara","Chamonix","Chamonix SH2EMCH","manual_name_override",""
"3M Fasara","Cielo","Cielo SH2FGCE","manual_name_override",""
"3M Fasara","Cloud Narrow Gray","Cloud Narrow Light Gray SH2FGCNL","manual_name_override",""
"3M Fasara","Cloud Narrow Lt. gray","Cloud Narrow Light Gray SH2FGCNL","manual_name_override",""
"3M Fasara","CLOUD SH2FGL","Cloud SH2FGCL","manual_name_override",""
"3M Fasara","Fabric Sagano SH2PTSA2","Sagano SH2PTSA2","code_match",""
"3M Fasara","Fabric Weave Pearl Dk Gray SH2EMWG","Weave Pearl + Dark Gray SH2EMWG","code_match",""
"3M Fasara","Fasara Glace","Glace SH2MAGL","manual_name_override",""
"3M Fasara","Fasara Illumina Glace Dots SH2FGIM","Illumina SH2FGIM","code_match",""
"3M Fasara","Fasara Lausanne","Lausanne SH2EMLA","manual_name_override",""
"3M Fasara","Fasara SH2EMOS","Oslo SH2EMOS","code_match",""
"3M Fasara","Fasara Yamato SH2PTYA","Yamato SH2PTYA","code_match",""
"3M Fasara","Frost Opaque White SH2MAOW","Opaque White SH2MAOW","code_match",""
"3M Fasara","Glace","Glace SH2MAGL","manual_name_override",""
"3M Fasara","Illumina Glace Dots","Illumina SH2FGIM","manual_name_override",""
"3M Fasara","Lausanne","Lausanne SH2EMLA","manual_name_override",""
"3M Fasara","Luce","Luce SH2FGLU","manual_name_override",""
"3M Fasara","Luna 6","Luna 6 SH2PCL6","manual_name_override",""
"3M Fasara","Luna 9","Luna 9 SH2PCL9","manual_name_override",""
"3M Fasara","Mat Crystal SH2MACR-I","Matte Crystal SH2MACR-I","code_match",""
"3M Fasara","Matte Crystal -L-2","Matte Crystal 2 SH2MACRX2","manual_name_override",""
"3M Fasara","Matte Crystal SH2MACR1","Matte Crystal SH2MACR-I","manual_code_override",""
"3M Fasara","Matte Crystal SH2MACRX2","Matte Crystal 2 SH2MACRX2","code_match",""
