manufacturer,film_name,film_key,product_code,source_kind,source_doc,source_product_name,notes
"3M Fasara","Aerina SH2FGAR","3M FASARA|AERINA SH2FGAR","SH2FGAR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Aerina",""
"3M Fasara","Altair SH2FGAT","3M FASARA|ALTAIR SH2FGAT","SH2FGAT","official_catalog","3M Glass Finishes 2020-2021 Catalog","Altair",""
"3M Fasara","Arpa Black SH2BKAP","3M FASARA|ARPA BLACK SH2BKAP","SH2BKAP","official_catalog","3M Glass Finishes 2020-2021 Catalog","Arpa Black",""
"3M Fasara","Arpa Crystal SH2APCR","3M FASARA|ARPA CRYSTAL SH2APCR","SH2APCR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Arpa Crystal",""
"3M Fasara","Arpa SH2FGAP","3M FASARA|ARPA SH2FGAP","SH2FGAP","official_catalog","3M Glass Finishes 2020-2021 Catalog","Arpa",""
"3M Fasara","Astral Silver SH2CSAS","3M FASARA|ASTRAL SILVER SH2CSAS","SH2CSAS","official_catalog","3M Glass Finishes 2020-2021 Catalog","Astral Silver",""
"3M Fasara","Aura 9 SH2PCA9","3M FASARA|AURA 9 SH2PCA9","SH2PCA9","official_catalog","3M Glass Finishes 2020-2021 Catalog","Aura 9",""
"3M Fasara","Black Blockout Matte 3635-22B","3M FASARA|BLACK BLOCKOUT MATTE 3635-22B","3635-22B","legacy_keep","Curated Legacy Keep","Black Blockout Matte","Retained as a curated legacy keep outside the official FASARA catalog."
"3M Fasara","Black Electrocut 7725-12","3M FASARA|BLACK ELECTROCUT 7725-12","7725-12","legacy_keep","Curated Legacy Keep","Black Electrocut","Retained as a curated legacy keep outside the official FASARA catalog."
"3M Fasara","Brushed Black SH2BKBR","3M FASARA|BRUSHED BLACK SH2BKBR","SH2BKBR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Brushed Black",""
"3M Fasara","Brushed SH2FGBR","3M FASARA|BRUSHED SH2FGBR","SH2FGBR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Brushed",""
"3M Fasara","Buckram Pearl + Gray SH2FGBUG","3M FASARA|BUCKRAM PEARL + GRAY SH2FGBUG","SH2FGBUG","official_catalog","3M Glass Finishes 2020-2021 Catalog","Buckram Pearl + Gray",""
"3M Fasara","Buckram SH2FGBU","3M FASARA|BUCKRAM SH2FGBU","SH2FGBU","official_catalog","3M Glass Finishes 2020-2021 Catalog","Buckram",""
"3M Fasara","Canvas Champagne Gold SH2CSCVC","3M FASARA|CANVAS CHAMPAGNE GOLD SH2CSCVC","SH2CSCVC","official_catalog","3M Glass Finishes 2020-2021 Catalog","Canvas Champagne Gold",""
"3M Fasara","Canvas SH2FGCV","3M FASARA|CANVAS SH2FGCV","SH2FGCV","official_catalog","3M Glass Finishes 2020-2021 Catalog","Canvas",""
"3M Fasara","Chain Mesh Reflect SH2SICMR","3M FASARA|CHAIN MESH REFLECT SH2SICMR","SH2SICMR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Chain Mesh Reflect",""
"3M Fasara","Chamonix SH2EMCH","3M FASARA|CHAMONIX SH2EMCH","SH2EMCH","official_catalog","3M Glass Finishes 2020-2021 Catalog","Chamonix",""
"3M Fasara","Cielo SH2FGCE","3M FASARA|CIELO SH2FGCE","SH2FGCE","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cielo",""
"3M Fasara","Cloud Narrow Blue Gray SH2FGCNB","3M FASARA|CLOUD NARROW BLUE GRAY SH2FGCNB","SH2FGCNB","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cloud Narrow Blue Gray",""
"3M Fasara","Cloud Narrow Dark Gray SH2FGCND","3M FASARA|CLOUD NARROW DARK GRAY SH2FGCND","SH2FGCND","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cloud Narrow Dark Gray",""
"3M Fasara","Cloud Narrow Light Gray SH2FGCNL","3M FASARA|CLOUD NARROW LIGHT GRAY SH2FGCNL","SH2FGCNL","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cloud Narrow Light Gray",""
"3M Fasara","Cloud Narrow SH2FGCN","3M FASARA|CLOUD NARROW SH2FGCN","SH2FGCN","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cloud Narrow",""
"3M Fasara","Cloud SH2FGCL","3M FASARA|CLOUD SH2FGCL","SH2FGCL","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cloud",""
"3M Fasara","Cross Hairline Matte Light Gray SH2CHMAL","3M FASARA|CROSS HAIRLINE MATTE LIGHT GRAY SH2CHMAL","SH2CHMAL","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cross Hairline Matte Light Gray",""
"3M Fasara","Cross Hairline Matte SH2CHMA","3M FASARA|CROSS HAIRLINE MATTE SH2CHMA","SH2CHMA","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cross Hairline Matte",""
"3M Fasara","Cross Hairline Milky SH2CHML","3M FASARA|CROSS HAIRLINE MILKY SH2CHML","SH2CHML","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cross Hairline Milky",""
