manufacturer,film_name,film_key,notes
"3M Fasara","- Fasara Cloud Narrow Gray","3M FASARA|- FASARA CLOUD NARROW GRAY",""
"3M Fasara","""illumina BLACK (gradient) SH2BKIM","3M FASARA|""ILLUMINA BLACK (GRADIENT) SH2BKIM","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","3532 3M Milano","3M FASARA|3532 3M MILANO",""
"3M Fasara","Acid Etch SXC-314","3M FASARA|ACID ETCH SXC-314","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","Aerina SH2FGAR","3M FASARA|AERINA SH2FGAR","AUTO_ADDED_FROM_INVENTORY_COUNT=3"
"3M Fasara","ALTAIR SH2FGAT","3M FASARA|ALTAIR SH2FGAT","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","Arpa Crystal SH2APCR","3M FASARA|ARPA CRYSTAL SH2APCR","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","Arpa SH2FGAP","3M FASARA|ARPA SH2FGAP","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"3M Fasara","Astral Silver","3M FASARA|ASTRAL SILVER",""
"3M Fasara","AURA 9 SH2PCA9","3M FASARA|AURA 9 SH2PCA9","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","Bird Divert","3M FASARA|BIRD DIVERT",""
"3M Fasara","Black Blockout Matte 3635-22B","3M FASARA|BLACK BLOCKOUT MATTE 3635-22B",""
"3M Fasara","Black Electrocut 7725-12","3M FASARA|BLACK ELECTROCUT 7725-12",""
"3M Fasara","Border Leise Horiz. SH2FGLS","3M FASARA|BORDER LEISE HORIZ. SH2FGLS","AUTO_ADDED_FROM_INVENTORY_COUNT=5"
"3M Fasara","Border Paracell Horizontal SH2FGPR","3M FASARA|BORDER PARACELL HORIZONTAL SH2FGPR","AUTO_ADDED_FROM_INVENTORY_COUNT=2"
"3M Fasara","Buck Pearl + Gray SH2FGBUG","3M FASARA|BUCK PEARL + GRAY SH2FGBUG","AUTO_ADDED_FROM_INVENTORY_COUNT=1"
"3M Fasara","Chamonix","3M FASARA|CHAMONIX",""
"3M Fasara","Chamonix SH2EMCH","3M FASARA|CHAMONIX SH2EMCH",""
"3M Fasara","Cielo","3M FASARA|CIELO",""
