reason,source_manufacturer,source_film_name,source_box_count,target_manufacturer,target_film_name,target_film_key,affected_rows
"fingerprint_unique_match","3M Solar","3M PR 70","68","3M Solar","PR 70","3M SOLAR|PR 70","68"
"fingerprint_unique_match","3M Solar","3M NV 15","65","3M Solar","NV 15","3M SOLAR|NV 15","65"
"fingerprint_unique_match","Llumar","Llumar Frost NRM PS2","64","Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2","64"
"fingerprint_unique_match","3M Solar","3M PR 50","48","3M Solar","PR 50","3M SOLAR|PR 50","48"
"fingerprint_unique_match","Solar Gard","SG Truevue 05","35","Solar Gard","Truevue 05","SOLAR GARD|TRUEVUE 05","35"
"fingerprint_unique_match","3M Solar","3M NV 25","34","3M Solar","NV 25","3M SOLAR|NV 25","34"
"fingerprint_unique_match","Avery Dennison","Avery Optitune 05","31","Avery Dennison","Optitune 05","AVERY DENNISON|OPTITUNE 05","31"
"fingerprint_unique_match","3M Fasara","3M Fasara Glace SH2MAGL","21","3M Fasara","Glace SH2MAGL","3M FASARA|GLACE SH2MAGL","21"
"fingerprint_unique_match","3M Solar","3M PR 70 EXT","21","3M Solar","PR 70 EXT","3M SOLAR|PR 70 EXT","21"
"fingerprint_unique_match","3M Solar","3M Affinity 15","19","3M Solar","Affinity 15","3M SOLAR|AFFINITY 15","19"
"fingerprint_unique_match","Solar Gard","SG Slate 10","19","Solar Gard","Slate 10","SOLAR GARD|SLATE 10","19"
"fingerprint_unique_match","3M Solar","3M PR 40 EXT","18","3M Solar","PR 40 EXT","3M SOLAR|PR 40 EXT","18"
"fingerprint_unique_match","3M Solar","3M PR 20","15","3M Solar","PR 20","3M SOLAR|PR 20","15"
"fingerprint_unique_match","Solar Gard","SG Slate 20","15","Solar Gard","Slate 20","SOLAR GARD|SLATE 20","15"
"fingerprint_unique_match","Solyx","Solyx Whiteout SXWFWO","15","Solyx","Whiteout SXWF-WO","SOLYX|WHITEOUT SXWF-WO","15"
"fingerprint_unique_match","Solyx","Solyx White Matte SXWFWM","13","Solyx","White Matte SXWFWM","SOLYX|WHITE MATTE SXWFWM","13"
"fingerprint_unique_match","Solyx","Solyx Dusted Crystal SX3140","12","Solyx","Dusted Crystal SX-3140","SOLYX|DUSTED CRYSTAL SX-3140","12"
"fingerprint_unique_match","3M Solar","3M PR 60","11","3M Solar","PR 60","3M SOLAR|PR 60","11"
"fingerprint_unique_match","Solyx","Solyx Blackout SXWFBO","11","Solyx","Blackout SXWFBO","SOLYX|BLACKOUT SXWFBO","11"
"fingerprint_unique_match","3M Fasara","3M Fasara Fine Crystal SH2FNCR","8","3M Fasara","Fine Crystal SH2FNCR","3M FASARA|FINE CRYSTAL SH2FNCR","8"
"fingerprint_unique_match","Llumar","LLUMAR FROST NRM PS2","8","Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2","8"
"fingerprint_unique_match","Solar Gard","SG TrueVue 05","8","Solar Gard","Truevue 05","SOLAR GARD|TRUEVUE 05","8"
"fingerprint_unique_match","3M Fasara","3M Fasara Frost Opaque White SH2MAOW","7","3M Fasara","Frost Opaque White SH2MAOW","3M FASARA|FROST OPAQUE WHITE SH2MAOW","7"
"fingerprint_unique_match","3M Fasara","3M Fasara Mat Crystal SH2MACR-I","7","3M Fasara","Mat Crystal SH2MACR-I","3M FASARA|MAT CRYSTAL SH2MACR-I","7"
"fingerprint_unique_match","3M Solar","3M Thinsulate 75","7","3M Solar","Thinsulate 75","3M SOLAR|THINSULATE 75","7"
"fingerprint_unique_match","Solar Gard","SG TrueVue 40","7","Solar Gard","Truevue 40","SOLAR GARD|TRUEVUE 40","7"
"fingerprint_unique_match","Solyx","Solyx Clear Frost SX1301","7","Solyx","Clear Frost SX-1301","SOLYX|CLEAR FROST SX-1301","7"
"fingerprint_unique_match","Solyx","Solyx White Sand Matte SX1409","7","Solyx","White Sand Matte SX-1409","SOLYX|WHITE SAND MATTE SX-1409","7"
"fingerprint_unique_match","3M Fasara","3M Fasara Milky Crystal SH2MLCRX","6","3M Fasara","Milky Crystal SH2MLCRX","3M FASARA|MILKY CRYSTAL SH2MLCRX","6"
"fingerprint_unique_match","3M Fasara","3M Fasara Shutie Vertical SH2FGST","6","3M Fasara","Shutie Vertical SH2FGST","3M FASARA|SHUTIE VERTICAL SH2FGST","6"
"fingerprint_unique_match","3M Solar","3M Affinity 30","6","3M Solar","Affinity 30","3M SOLAR|AFFINITY 30","6"
"fingerprint_unique_match","3M Solar","3M NV15","6","3M Solar","NV 15","3M SOLAR|NV 15","6"
"fingerprint_unique_match","Llumar","Llumar Frost NRMPS2","6","Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2","6"
"fingerprint_unique_match","Solyx","Solyx Milky Frost SXMD8303","6","Solyx","Milky Frost SXMD8303","SOLYX|MILKY FROST SXMD8303","6"
"fingerprint_unique_match","Solyx","Solyx Total Light Blockout White SXF-5050","6","Solyx","Total Light Blockout White SXF-5050","SOLYX|TOTAL LIGHT BLOCKOUT WHITE SXF-5050","6"
"fingerprint_unique_match","3M Fasara","3M Fasara Border Leise Horiz. SH2FGLS","5","3M Fasara","Border Leise Horiz. SH2FGLS","3M FASARA|BORDER LEISE HORIZ. SH2FGLS","5"
"fingerprint_unique_match","3M Fasara","3M Fasara Mare SH2FGMR","5","3M Fasara","Mare SH2FGMR","3M FASARA|MARE SH2FGMR","5"
"fingerprint_unique_match","3M Fasara","3M Fasara Straight Washi SH2FGSW","5","3M Fasara","Straight Washi SH2FGSW","3M FASARA|STRAIGHT WASHI SH2FGSW","5"
"fingerprint_unique_match","3M Solar","3M PR 70 Ext","5","3M Solar","PR 70 EXT","3M SOLAR|PR 70 EXT","5"
"fingerprint_unique_match","Llumar","Llumar White Out NRMW PS3","5","Llumar","White Out NRMW PS3","LLUMAR|WHITE OUT NRMW PS3","5"
"fingerprint_unique_match","Solar Gard","SG Panorama Slate 10","5","Solar Gard","Panorama Slate 10","SOLAR GARD|PANORAMA SLATE 10","5"
"fingerprint_unique_match","Solar Gard","SG TrueVue 5","5","Solar Gard","Truevue 5","SOLAR GARD|TRUEVUE 5","5"
"fingerprint_unique_match","Solyx","Solyx Fine Crystal Frost SX-1309","5","Solyx","Fine Crystal Frost SX-1309","SOLYX|FINE CRYSTAL FROST SX-1309","5"
"fingerprint_unique_match","3M Solar","3M PR 50 EXT","4","3M Solar","PR 50 EXT","3M SOLAR|PR 50 EXT","4"
"fingerprint_unique_match","3M Solar","3M PR20","4","3M Solar","PR 20","3M SOLAR|PR 20","4"
"fingerprint_unique_match","Solar Gard","SG Truevue 40","4","Solar Gard","Truevue 40","SOLAR GARD|TRUEVUE 40","4"
"fingerprint_unique_match","Solyx","Solyx Dual Cloud Gradient SXJ0579","4","Solyx","Dual Cloud Gradient SXJ0579","SOLYX|DUAL CLOUD GRADIENT SXJ0579","4"
"fingerprint_unique_match","Solyx","Solyx Fine Brushed SXL1017","4","Solyx","Fine Brushed SXL1017","SOLYX|FINE BRUSHED SXL1017","4"
"fingerprint_unique_match","Solyx","Solyx Geometric SX3150","4","Solyx","Geometric SX3150","SOLYX|GEOMETRIC SX3150","4"
"fingerprint_unique_match","3M Fasara","3M Fasara Lausanne SH2EMLA","3","3M Fasara","Lausanne SH2EMLA","3M FASARA|LAUSANNE SH2EMLA","3"
"fingerprint_unique_match","3M Fasara","3M Fasara Luce SH2FGLU","3","3M Fasara","Luce SH2FGLU","3M FASARA|LUCE SH2FGLU","3"
"fingerprint_unique_match","3M Fasara","3M Fasara Stripe Safari SH2PTSR","3","3M Fasara","Stripe Safari SH2PTSR","3M FASARA|STRIPE SAFARI SH2PTSR","3"
"fingerprint_unique_match","3M Solar","3M PR 90 EXT","3","3M Solar","PR 90 EXT","3M SOLAR|PR 90 EXT","3"
"fingerprint_unique_match","3M Solar","3M S80","3","3M Solar","S80","3M SOLAR|S80","3"
