manufacturer,film_name,box_count,warehouses,recommendation,target_manufacturer,target_film_name,reason,confidence
"Solar Gard","SG Truevue 15","25","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"3M Solar","3M NV 35","21","IL1|MS1","MAP_EXISTING","3M Solar","NV 35","normalized fingerprint exact match","high"
"Llumar","Llumar Bronze 20 N1020B","17","IL1|MS1","ADD_TO_CATALOG","Llumar","Bronze 20 N1020B","no catalog candidate","medium"
"Solar Gard","SG Slate 40","16","IL1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 40","multiple normalized matches (2)","medium"
"3M Solar","3M PR 20 EXT","15","IL1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"3M Fasara","3M Fasara Frosted Crystal 7725-324","14","IL1|MS1","ADD_TO_CATALOG","3M Fasara","Frosted Crystal 7725-324","no catalog candidate","medium"
"Solar Gard","SG TrueVue 15","14","IL1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"3M Fasara","3M Black Blockout Matte 3635-22B","13","IL1","ADD_TO_CATALOG","3M Fasara","Black Blockout Matte 3635-22B","no catalog candidate","medium"
"Solar Gard","SG Slate 30","13","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 30","multiple normalized matches (2)","medium"
"Avery Dennison","Avery Natura 30","12","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","Natura 30","no catalog candidate","medium"
"Solar Gard","SG Sentinel Plus DX5 EXT","12","IL1|MS1","ADD_TO_CATALOG","Solar Gard","Sentinel Plus DX5 EXT","no catalog candidate","medium"
"Solar Gard","SG True Vue 30","11","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"Vinyl","Coastal Dow 995 Black","11","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"3M Fasara","Feather Friendly Harmony","10","IL1","ADD_TO_CATALOG","3M Fasara","Feather Friendly Harmony","no catalog candidate","medium"
"3M Solar","3M PR 40","10","IL1|MS1","MAP_EXISTING","3M Solar","PR 40","normalized fingerprint exact match","high"
"Avery Dennison","Avery Optishade 25","10","MS1","ADD_TO_CATALOG","Avery Dennison","Optishade 25","no catalog candidate","medium"
"Avery Dennison","Avery Optitune 15","10","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 15","no catalog candidate","medium"
"Avery Dennison","Avery Perlite 70","10","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","Perlite 70","no catalog candidate","medium"
"Llumar","Llumar Vista 58 (V58)","10","IL1","REVIEW_MAP_CANDIDATE","Llumar","Vista 58 (v58)","single shared model token","medium"
"Security","3M AG-4","10","IL1|MS1","ADD_TO_CATALOG","Security","3M AG-4","no catalog candidate","medium"
"Solyx","Solyx Total Light Blockout White","10","IL1","ADD_TO_CATALOG","Solyx","Total Light Blockout White","no catalog candidate","medium"
"Vinyl","Oracal 751 Silver Metallic","10","IL1|MS1","ADD_TO_CATALOG","Vinyl","Oracal 751 Silver Metallic","no catalog candidate","medium"
"3M Solar","3M Black IPA Caulk","9","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"Vinyl","3M 7125 Dark Grey 41","9","IL1","ADD_TO_CATALOG","Vinyl","3M 7125 Dark Grey 41","no catalog candidate","medium"
"Vinyl","Oracal 8500 Middle Gray","9","IL1|MS1","ADD_TO_CATALOG","Vinyl","Oracal 8500 Middle Gray","no catalog candidate","medium"
"3M Solar","3M PR 20 Ext","8","IL1|MS1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"Security","Madico Graffiti Free 6 MIL","8","IL1","ADD_TO_CATALOG","Security","Madico Graffiti Free 6 MIL","no catalog candidate","medium"
"Solar Gard","SG Truevue 30","8","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"Avery Dennison","Avery Natura 15","7","MS1","ADD_TO_CATALOG","Avery Dennison","Natura 15","no catalog candidate","medium"
"Security","Madico 12 Mil Frost Matte","7","IL1","ADD_TO_CATALOG","Security","Madico 12 Mil Frost Matte","no catalog candidate","medium"
"3M Fasara","3M Black Electrocut 7725-12","6","IL1","ADD_TO_CATALOG","3M Fasara","Black Electrocut 7725-12","no catalog candidate","medium"
"3M Fasara","3M Dusted Crystal","6","IL1|MS1","ADD_TO_CATALOG","3M Fasara","Dusted Crystal","no catalog candidate","medium"
"3M Solar","PRX 20 Ext","6","IL1","ADD_TO_CATALOG","3M Solar","PRX 20 Ext","no catalog candidate","medium"
"Avery Dennison","Avery Optitune 20","6","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 20","no catalog candidate","medium"
"Llumar","Llumar ATC 5%","6","MS1","ADD_TO_CATALOG","Llumar","ATC 5%","no catalog candidate","medium"
"Llumar","Llumar CTX 25%","6","MS1","ADD_TO_CATALOG","Llumar","CTX 25%","no catalog candidate","medium"
"Llumar","Llumar RN07","6","IL1|MS1","ADD_TO_CATALOG","Llumar","RN07","no catalog candidate","medium"
"Solar Gard","SolarGuard Truevue 30","6","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"3M Fasara","Feather Friendly Horizon","5","IL1","ADD_TO_CATALOG","3M Fasara","Feather Friendly Horizon","no catalog candidate","medium"
"3M Solar","PRX 40 Ext","5","IL1|MS1","ADD_TO_CATALOG","3M Solar","PRX 40 Ext","no catalog candidate","medium"
"Avery Dennison","Avery Optitune 30","5","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 30","no catalog candidate","medium"
"Avery Dennison","Titan 7 Xtra","5","IL1","ADD_TO_CATALOG","Avery Dennison","Titan 7 Xtra","no catalog candidate","medium"
"Llumar","RN 07","5","IL1","ADD_TO_CATALOG","Llumar","RN 07","no catalog candidate","medium"
"Security","3M AG","5","IL1","ADD_TO_CATALOG","Security","3M AG","no catalog candidate","medium"
"Security","Madico Safety Clear 4 Mil CL400","5","IL1","ADD_TO_CATALOG","Security","Madico Safety Clear 4 Mil CL400","no catalog candidate","medium"
"Solyx","Solar Graphics Amber 2400","5","IL1","ADD_TO_CATALOG","Solyx","Solar Graphics Amber 2400","no catalog candidate","medium"
"Solyx","Solyx Etched Leise","5","MS1","ADD_TO_CATALOG","Solyx","Etched Leise","no catalog candidate","medium"
"Vinyl","Renegade 35%","5","MS1","ADD_TO_CATALOG","Vinyl","Renegade 35%","no catalog candidate","medium"
"3M Solar","3M Controltac 180MC41 Dk. Gray","4","MS1","ADD_TO_CATALOG","3M Solar","Controltac 180MC41 Dk. Gray","no catalog candidate","medium"
"3M Solar","3M P-18 Silver","4","IL1|MS1","ADD_TO_CATALOG","3M Solar","P-18 Silver","no catalog candidate","medium"
"3M Solar","3M S70X","4","MS1","ADD_TO_CATALOG","3M Solar","S70X","no catalog candidate","medium"
"3M Solar","3M White IPA Caulk","4","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"ASWFVKOOL","ASWF FROST REMOVABLE","4","IL1","ADD_TO_CATALOG","ASWFVKOOL","ASWF FROST REMOVABLE","no catalog candidate","medium"
"Avery Dennison","AD DR Grey 10X","4","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","DR Grey 10X","no catalog candidate","medium"
"Avery Dennison","Avery E-lite 45","4","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","E-lite 45","no catalog candidate","medium"
"Avery Dennison","Avery Optishade 35","4","MS1","ADD_TO_CATALOG","Avery Dennison","Optishade 35","no catalog candidate","medium"
"Llumar","Llumar 100% Whiteout","4","IL1","ADD_TO_CATALOG","Llumar","100% Whiteout","no catalog candidate","medium"
"Llumar","Llumar DR 25","4","IL1|MS1","ADD_TO_CATALOG","Llumar","DR 25","no catalog candidate","medium"
"Llumar","LLUMAR FROST","4","IL1","ADD_TO_CATALOG","Llumar","FROST","no catalog candidate","medium"
"Security","3M AG-6","4","IL1","ADD_TO_CATALOG","Security","3M AG-6","no catalog candidate","medium"
"Security","Llumar Clear 13 MIL","4","MS1","ADD_TO_CATALOG","Security","Llumar Clear 13 MIL","no catalog candidate","medium"
"Solar Gard","SG Slate 30 (Panorama)","4","IL1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 30","multiple normalized matches (2)","medium"
"Solyx","Casper Cloaking PF001-801","4","IL1","ADD_TO_CATALOG","Solyx","Casper Cloaking PF001-801","no catalog candidate","medium"
"Solyx","Solyx Frosted Strie SGV6613","4","IL1|MS1","ADD_TO_CATALOG","Solyx","Frosted Strie SGV6613","no catalog candidate","medium"
"Vinyl","Oracal 951-090 Silver Metallic","4","IL1|MS1","ADD_TO_CATALOG","Vinyl","Oracal 951-090 Silver Metallic","no catalog candidate","medium"
"3M Fasara","3M Milano","3","MS1","ADD_TO_CATALOG","3M Fasara","Milano","no catalog candidate","medium"
"3M Solar","3M Frosted Crystal 7725-324","3","IL1","ADD_TO_CATALOG","3M Solar","Frosted Crystal 7725-324","no catalog candidate","medium"
"3M Solar","3M P-18","3","IL1|MS1","ADD_TO_CATALOG","3M Solar","P-18","no catalog candidate","medium"
"3M Solar","3M Privacy Mirror","3","IL1","ADD_TO_CATALOG","3M Solar","Privacy Mirror","no catalog candidate","medium"
"3M Solar","3M PRX 70 Ext","3","IL1|MS1","ADD_TO_CATALOG","3M Solar","PRX 70 Ext","no catalog candidate","medium"
"3M Solar","3M PRX20","3","MS1","ADD_TO_CATALOG","3M Solar","PRX20","no catalog candidate","medium"
"3M Solar","3M White Blockout Matte 3635-20","3","IL1","ADD_TO_CATALOG","3M Solar","White Blockout Matte 3635-20","no catalog candidate","medium"
"Avery Dennison","Avery Optishade 15","3","MS1","ADD_TO_CATALOG","Avery Dennison","Optishade 15","no catalog candidate","medium"
"Avery Dennison","Avery Optitune 40","3","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 40","no catalog candidate","medium"
"Avery Dennison","Avery Titan 07","3","IL1","ADD_TO_CATALOG","Avery Dennison","Titan 07","no catalog candidate","medium"
"Llumar","Llumar ATC 20%","3","MS1","ADD_TO_CATALOG","Llumar","ATC 20%","no catalog candidate","medium"
"Llumar","Llumar ATC 50%","3","MS1","ADD_TO_CATALOG","Llumar","ATC 50%","no catalog candidate","medium"
"Llumar","Llumar CTX 35%","3","MS1","ADD_TO_CATALOG","Llumar","CTX 35%","no catalog candidate","medium"
"Llumar","Llumar DR 15","3","IL1|MS1","ADD_TO_CATALOG","Llumar","DR 15","no catalog candidate","medium"
"Llumar","Llumar DR-35","3","IL1|MS1","ADD_TO_CATALOG","Llumar","DR-35","no catalog candidate","medium"
"Llumar","Llumar N1020","3","IL1|MS1","ADD_TO_CATALOG","Llumar","N1020","no catalog candidate","medium"
"Llumar","Llumar Silver Sparkle","3","IL1","ADD_TO_CATALOG","Llumar","Silver Sparkle","no catalog candidate","medium"
"Llumar","Llumar V 18","3","IL1","ADD_TO_CATALOG","Llumar","V 18","no catalog candidate","medium"
"Security","Madico Clear 8 MIL Safetyshield 800","3","IL1","ADD_TO_CATALOG","Security","Madico Clear 8 MIL Safetyshield 800","no catalog candidate","medium"
"Security","Madico Frost Matte 2 Mil 200PS","3","IL1","ADD_TO_CATALOG","Security","Madico Frost Matte 2 Mil 200PS","no catalog candidate","medium"
"Security","Madico Safetyshield 700","3","MS1","ADD_TO_CATALOG","Security","Madico Safetyshield 700","no catalog candidate","medium"
"Security","Solyx Safety Sand Blast","3","MS1","ADD_TO_CATALOG","Security","Solyx Safety Sand Blast","no catalog candidate","medium"
"Solar Gard","SG Sentinel Plus Silver 20 Ext.","3","IL1","ADD_TO_CATALOG","Solar Gard","Sentinel Plus Silver 20 Ext.","no catalog candidate","medium"
"Solyx","Solyx Blackout","3","MS1","ADD_TO_CATALOG","Solyx","Blackout","no catalog candidate","medium"
"Vinyl","651 Black Matte","3","IL1","ADD_TO_CATALOG","Vinyl","651 Black Matte","no catalog candidate","medium"
"Vinyl","Renegade 20%","3","MS1","ADD_TO_CATALOG","Vinyl","Renegade 20%","no catalog candidate","medium"
"3M Fasara","Fasara Glace","2","MS1","ADD_TO_CATALOG","3M Fasara","Glace","no catalog candidate","medium"
"3M Fasara","Fasara Lausanne","2","MS1","ADD_TO_CATALOG","3M Fasara","Lausanne","no catalog candidate","medium"
"3M Fasara","FEATHER FRIENDLY HARMONY","2","IL1","ADD_TO_CATALOG","3M Fasara","FEATHER FRIENDLY HARMONY","no catalog candidate","medium"
"3M Solar","3M Amber Low E 35","2","IL1","ADD_TO_CATALOG","3M Solar","Amber Low E 35","no catalog candidate","medium"
"3M Solar","3M BLACK IPA CAULK","2","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"3M Solar","3M Night Vision 25","2","IL1|MS1","ADD_TO_CATALOG","3M Solar","Night Vision 25","no catalog candidate","medium"
"3M Solar","3M PR","2","IL1|MS1","ADD_TO_CATALOG","3M Solar","PR","no catalog candidate","medium"
"3M Solar","3M PR 40X","2","MS1","ADD_TO_CATALOG","3M Solar","PR 40X","no catalog candidate","medium"
"3M Solar","3M RE35NEARL","2","IL1","ADD_TO_CATALOG","3M Solar","RE35NEARL","no catalog candidate","medium"
"3M Solar","3M Silver P18","2","MS1","ADD_TO_CATALOG","3M Solar","Silver P18","no catalog candidate","medium"
"ASWFVKOOL","Madico BL 200 PS","2","MS1","ADD_TO_CATALOG","ASWFVKOOL","Madico BL 200 PS","no catalog candidate","medium"
"ASWFVKOOL","V-Kool VK 40","2","IL1","ADD_TO_CATALOG","ASWFVKOOL","V-Kool VK 40","no catalog candidate","medium"
"ASWFVKOOL","V-Kool VK 70","2","IL1","ADD_TO_CATALOG","ASWFVKOOL","V-Kool VK 70","no catalog candidate","medium"
