row_num,manufacturer,film_name,box_count,warehouses,recommendation,target_manufacturer,target_film_name,reason,confidence
"1","Vinyl","Coastal Dow 995 Black","11","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"2","3M Solar","3M Black IPA Caulk","9","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"3","Vinyl","3M 7125 Dark Grey 41","9","IL1","ADD_TO_CATALOG","Vinyl","3M 7125 Dark Grey 41","no catalog candidate","medium"
"4","3M Solar","3M PR 20 Ext","8","IL1|MS1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"5","Security","Madico Graffiti Free 6 MIL","8","IL1","ADD_TO_CATALOG","Security","Madico Graffiti Free 6 MIL","no catalog candidate","medium"
"6","Solar Gard","SG Truevue 30","8","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"7","Avery Dennison","Avery Natura 15","7","MS1","ADD_TO_CATALOG","Avery Dennison","Natura 15","no catalog candidate","medium"
"8","Security","Madico 12 Mil Frost Matte","7","IL1","ADD_TO_CATALOG","Security","Madico 12 Mil Frost Matte","no catalog candidate","medium"
"9","3M Fasara","3M Black Electrocut 7725-12","6","IL1","ADD_TO_CATALOG","3M Fasara","Black Electrocut 7725-12","no catalog candidate","medium"
"10","3M Fasara","3M Dusted Crystal","6","IL1|MS1","ADD_TO_CATALOG","3M Fasara","Dusted Crystal","no catalog candidate","medium"
"11","3M Solar","PRX 20 Ext","6","IL1","ADD_TO_CATALOG","3M Solar","PRX 20 Ext","no catalog candidate","medium"
"12","Avery Dennison","Avery Optitune 20","6","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 20","no catalog candidate","medium"
"13","Llumar","Llumar ATC 5%","6","MS1","ADD_TO_CATALOG","Llumar","ATC 5%","no catalog candidate","medium"
"14","Llumar","Llumar CTX 25%","6","MS1","ADD_TO_CATALOG","Llumar","CTX 25%","no catalog candidate","medium"
"15","Llumar","Llumar RN07","6","IL1|MS1","ADD_TO_CATALOG","Llumar","RN07","no catalog candidate","medium"
"16","Solar Gard","SolarGuard Truevue 30","6","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"17","3M Fasara","Feather Friendly Horizon","5","IL1","ADD_TO_CATALOG","3M Fasara","Feather Friendly Horizon","no catalog candidate","medium"
"18","3M Solar","PRX 40 Ext","5","IL1|MS1","ADD_TO_CATALOG","3M Solar","PRX 40 Ext","no catalog candidate","medium"
"19","Avery Dennison","Avery Optitune 30","5","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 30","no catalog candidate","medium"
"20","Avery Dennison","Titan 7 Xtra","5","IL1","ADD_TO_CATALOG","Avery Dennison","Titan 7 Xtra","no catalog candidate","medium"
"21","Llumar","RN 07","5","IL1","ADD_TO_CATALOG","Llumar","RN 07","no catalog candidate","medium"
"22","Security","3M AG","5","IL1","ADD_TO_CATALOG","Security","3M AG","no catalog candidate","medium"
"23","Security","Madico Safety Clear 4 Mil CL400","5","IL1","ADD_TO_CATALOG","Security","Madico Safety Clear 4 Mil CL400","no catalog candidate","medium"
"24","Solyx","Solar Graphics Amber 2400","5","IL1","ADD_TO_CATALOG","Solyx","Solar Graphics Amber 2400","no catalog candidate","medium"
"25","Solyx","Solyx Etched Leise","5","MS1","ADD_TO_CATALOG","Solyx","Etched Leise","no catalog candidate","medium"
"26","Vinyl","Renegade 35%","5","MS1","ADD_TO_CATALOG","Vinyl","Renegade 35%","no catalog candidate","medium"
"27","3M Solar","3M Controltac 180MC41 Dk. Gray","4","MS1","ADD_TO_CATALOG","3M Solar","Controltac 180MC41 Dk. Gray","no catalog candidate","medium"
"28","3M Solar","3M P-18 Silver","4","IL1|MS1","ADD_TO_CATALOG","3M Solar","P-18 Silver","no catalog candidate","medium"
"29","3M Solar","3M S70X","4","MS1","ADD_TO_CATALOG","3M Solar","S70X","no catalog candidate","medium"
"30","3M Solar","3M White IPA Caulk","4","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"31","ASWFVKOOL","ASWF FROST REMOVABLE","4","IL1","ADD_TO_CATALOG","ASWFVKOOL","ASWF FROST REMOVABLE","no catalog candidate","medium"
"32","Avery Dennison","AD DR Grey 10X","4","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","DR Grey 10X","no catalog candidate","medium"
"33","Avery Dennison","Avery E-lite 45","4","IL1|MS1","ADD_TO_CATALOG","Avery Dennison","E-lite 45","no catalog candidate","medium"
"34","Avery Dennison","Avery Optishade 35","4","MS1","ADD_TO_CATALOG","Avery Dennison","Optishade 35","no catalog candidate","medium"
"35","Llumar","Llumar 100% Whiteout","4","IL1","ADD_TO_CATALOG","Llumar","100% Whiteout","no catalog candidate","medium"
"36","Llumar","Llumar DR 25","4","IL1|MS1","ADD_TO_CATALOG","Llumar","DR 25","no catalog candidate","medium"
"37","Llumar","LLUMAR FROST","4","IL1","ADD_TO_CATALOG","Llumar","FROST","no catalog candidate","medium"
"38","Security","3M AG-6","4","IL1","ADD_TO_CATALOG","Security","3M AG-6","no catalog candidate","medium"
"39","Security","Llumar Clear 13 MIL","4","MS1","ADD_TO_CATALOG","Security","Llumar Clear 13 MIL","no catalog candidate","medium"
"40","Solar Gard","SG Slate 30 (Panorama)","4","IL1","REVIEW_MAP_CANDIDATE","Solar Gard","Slate 30","multiple normalized matches (2)","medium"
"41","Solyx","Casper Cloaking PF001-801","4","IL1","ADD_TO_CATALOG","Solyx","Casper Cloaking PF001-801","no catalog candidate","medium"
"42","Solyx","Solyx Frosted Strie SGV6613","4","IL1|MS1","ADD_TO_CATALOG","Solyx","Frosted Strie SGV6613","no catalog candidate","medium"
"43","Vinyl","Oracal 951-090 Silver Metallic","4","IL1|MS1","ADD_TO_CATALOG","Vinyl","Oracal 951-090 Silver Metallic","no catalog candidate","medium"
"44","3M Fasara","3M Milano","3","MS1","ADD_TO_CATALOG","3M Fasara","Milano","no catalog candidate","medium"
"45","3M Solar","3M Frosted Crystal 7725-324","3","IL1","ADD_TO_CATALOG","3M Solar","Frosted Crystal 7725-324","no catalog candidate","medium"
"46","3M Solar","3M P-18","3","IL1|MS1","ADD_TO_CATALOG","3M Solar","P-18","no catalog candidate","medium"
"47","3M Solar","3M Privacy Mirror","3","IL1","ADD_TO_CATALOG","3M Solar","Privacy Mirror","no catalog candidate","medium"
"48","3M Solar","3M PRX 70 Ext","3","IL1|MS1","ADD_TO_CATALOG","3M Solar","PRX 70 Ext","no catalog candidate","medium"
"49","3M Solar","3M PRX20","3","MS1","ADD_TO_CATALOG","3M Solar","PRX20","no catalog candidate","medium"
"50","3M Solar","3M White Blockout Matte 3635-20","3","IL1","ADD_TO_CATALOG","3M Solar","White Blockout Matte 3635-20","no catalog candidate","medium"
"51","Avery Dennison","Avery Optishade 15","3","MS1","ADD_TO_CATALOG","Avery Dennison","Optishade 15","no catalog candidate","medium"
"52","Avery Dennison","Avery Optitune 40","3","MS1","ADD_TO_CATALOG","Avery Dennison","Optitune 40","no catalog candidate","medium"
"53","Avery Dennison","Avery Titan 07","3","IL1","ADD_TO_CATALOG","Avery Dennison","Titan 07","no catalog candidate","medium"
"54","Llumar","Llumar ATC 20%","3","MS1","ADD_TO_CATALOG","Llumar","ATC 20%","no catalog candidate","medium"
"55","Llumar","Llumar ATC 50%","3","MS1","ADD_TO_CATALOG","Llumar","ATC 50%","no catalog candidate","medium"
"56","Llumar","Llumar CTX 35%","3","MS1","ADD_TO_CATALOG","Llumar","CTX 35%","no catalog candidate","medium"
