row_num,manufacturer,film_name,box_count,warehouses,suggested_target,options
"3","3M Solar","3M PR 20 Ext","8","IL1|MS1","PR 20 EXT","PR 20 EXT | PR 20 Exterior"
"4","Solar Gard","SG Truevue 30","8","IL1|MS1","Truevue 30","Solar Gard Truevue 30 | Truevue 30"
"5","Solar Gard","SolarGuard Truevue 30","6","MS1","Truevue 30","Solar Gard Truevue 30 | Truevue 30"
"8","Solar Gard","SG TrueVue 30","2","IL1|MS1","Truevue 30","Solar Gard Truevue 30 | Truevue 30"
"9","Solar Gard","Solar Guard Truevue 15","2","MS1","Truevue 15","Solar Gard Truevue 15 | Truevue 15"
"10","Solar Gard","SolarGuard Truevue 15","2","MS1","Truevue 15","Solar Gard Truevue 15 | Truevue 15"
"17","3M Solar","3M PR 20 Exterior","1","MS1","PR 20 EXT","PR 20 EXT | PR 20 Exterior"
"18","Llumar","Vista V-33","1","IL1","V33","V33"
"19","Solar Gard","SG SLATE 30","1","IL1","Slate 30","Slate 30 | Slate 30 (panorama)"
"20","Solar Gard","SG True Vue 15","1","MS1","Truevue 15","Solar Gard Truevue 15 | Truevue 15"
"21","Solar Gard","SolarGuard Slate 30","1","MS1","Slate 30","Slate 30 | Slate 30 (panorama)"
"22","Solyx","Solyx Transparent White Matte SXWFTWM","1","IL1","Transparent White Matte SXWFTWM","SOL TRANSPARENT WHITE MATTE SXWF-TWM | Transparent White Matte SXWFTWM"
