"sheet","row_number","reason","raw_description","raw_qty","raw_lot","parsed_id_candidate","parsed_width_candidate","inventory_date"
"Llumar","5","missing_width","1452 - Llumar White Matte","20.0","NA","1452","","2025-07-31"
"Llumar","13","missing_width","2144-Mini Dots 60""   GRADIENT","14.0","5.0164686E7","2144","","2025-07-31"
"Llumar","14","missing_width","2218- TH E-80 72"" (The-80 blue)             ","75.0","5.0188006E7","2218","","2025-07-31"
"Llumar","16","missing_width","2291- Mini Dots 60""   GRADIENT","25.0","5.0164686E7","2291","","2025-07-31"
"Llumar","17","missing_width","2321 - Opaque Black LL NRMM-PS2","23.0","5017287.0","2321","","2025-07-31"
"Llumar","43","missing_quantity","3935 - Llumar Silver Sparkle 60""","","D764480P32","3935","60","2025-07-31"
"Llumar","56","missing_quantity","6417 - Llumar SCL SR PS8 60""","","","6417","60","2025-07-31"
"3M Solar","9","missing_quantity","3614 - 3M PR 50 60""","","B048323891","3614","60","2023-07-31"
"3M Solar","26","missing_quantity","6228 - 3M PR 70 EXT 60""","","E100324755","6228","60","2023-07-31"
"Fasara","4","missing_width","1542- RIKYU SH2TPTRK","13.0","JR-4510-3799B","1542","","2023-02-13"
"Fasara","13","missing_width","2333 - Rikyu SH2PTRK","14.0","29C021","2333","","2023-02-13"
"Fasara","19","missing_width","3118 - 3M Cloud SH2FGCL","15.0","SO-19C105","3118","","2023-02-13"
"Fasara","22","missing_width","8128- ALTAIR  SH2FGAT","14.0","NA","8128","","2023-02-13"
"Fasara","24","missing_width","3758 -  3M SAN MARINO SH2MAMM","10.0","","3758","","2023-02-13"
"Fasara","70","duplicate_box_id","6398 - 3M Fasara Dusted Crystal 7725-314 60""","125.0","G2431803","6398","60","2023-02-13"
"Fasara","94","duplicate_box_id","6803 - 3M Black Blockout Matte 3635-22B 48""","41.0","L2525801","6803","48","2023-02-13"
"Solar Guard","19","malformed_description","4045 SG Truevue 05  72""","6.0","","","","2023-07-31"
"Solar Guard","36","non_positive_quantity","6354 - SG Slate 10 48""","0.0","5.434769058E9","6354","48","2023-07-31"
"Security","14","missing_width","2866 - Madico Blister Free","17.0","2.027530189E9","2866","","2023-07-31"
"Security","15","missing_width","2996 - SOL Ultrasafe WM560 1 of 3","80.0","NA","2996","","2023-07-31"
"Security","17","duplicate_box_id","8130 - SolarGard  8MIL SS 35 36""","55.0","","8130","36","2023-07-31"
"Security","58","missing_quantity","6295 - 3M S140 SH14CLARL 60""","PCS","242B","6295","60","2023-07-31"
"Security","66","duplicate_box_id","6418 - Llumar SCL SR PS8 72""","100.0","D790205","6418","72","2023-07-31"
"Security","115","missing_quantity","6885 - Madico CL 800 PS SR 72""","","2.535330016E9","6885","72","2023-07-31"
"Di-Noc","2","missing_width","3127-3M Di-Noc AE-1913MT","10.0","","3127","","2023-02-13"
"Di-Noc","3","missing_width","3128-3M Di-Noc PS1183 (192')","61.0","1018154-01","3128","","2023-02-13"
"Di-Noc","7","missing_width","3409 - 3M Di-Noc WG-364GN Wood Grain Gloss 48'","23.0","856951.0","3409","","2023-02-13"
"Di-Noc","9","missing_quantity","3591 - 3M Di-Noc NU-2179 Textile Nuno 48""","","","3591","48","2023-02-13"
"Di-Noc","10","missing_quantity","3518 - 3M DI-NOC NU-2179 TEXTILE NUNO 48""","","880955.0","3518","48","2023-02-13"
"Di-Noc","13","missing_quantity","3595 - 3M DI-NOC OYSTER LINEN F473","","","3595","473","2023-02-13"
"Di-Noc","15","missing_width","3961 - DI-NOC  COLOGNE WALNUT","","","3961","","2023-02-13"
"Di-Noc","21","missing_width","5951 - 3M Di-Noc Fine Wood Bronco Teak FW1272 pcs","","151685.0","5951","","2023-02-13"
"Avery Dennison","18","duplicate_box_id","5160 - Avery Safety Matte 5 Mil R14811 60""","100.0","RC4066761","5160","60","2023-02-13"
"Solyx","4","missing_width","1438 - VERTICAL STRIPES 0000","15.0","NA","1438","","2023-07-31"
"Solyx","11","missing_width","2137 - Sand Blast SX-1000","15.0","NA","2137","","2023-07-31"
"Solyx","22","missing_width","2806 - SXJ-0598 MISTY FROST 60""  GRADIANT","8.0","NA","2806","","2023-07-31"
"Solyx","43","missing_width","3609 - Solyx Dual Misty Fost SXJ-0598 60"" GRADIANT","20.0","NA","3609","","2023-07-31"
"Solyx","55","missing_width","4083 - Solyx Glass Frost SXR-9829 54"" (+ 34""x 64"" pc)","5.0","","4083","","2023-07-31"
"Solyx","146","missing_width","6843 - SOLYX Fine Cast Sand Blast SX1000","15.0","","6843","","2023-07-31"
"Solyx","154","malformed_description","65.0","20.0","","","","2023-07-31"
"Solyx","157","missing_quantity","6881 - SOLYX reeded glass 1"" bars SX1255 60""","","","6881","60","2023-07-31"
"Vinyl","13","missing_width","2915- 3M BLACK GLOSSY 3635-22B","122.0","G2008603","2915","","2025-02-13"
"Vinyl","20","duplicate_box_id","3021 - Perforated One-Way (White) 54""","15.0","","3021","54","2025-02-13"
"Vinyl","26","duplicate_box_id","6070 - 3M White Blockout Matte 3635-20 48""","70.0","L2409404","6070","48","2025-02-13"
"Vinyl","34","missing_quantity","6777 - Oracal 8500 Dk. Green 060 48""","","","6777","48","2025-02-13"
