"BoxID","Manufacturer","FilmName","WidthIn","InitialFeet","FeetAvailable","LotRun","Status","OrderDate","ReceivedDate","InitialWeightLbs","LastRollWeightLbs","LastWeighedDate","FilmKey","CoreType","CoreWeightLbs","LfWeightLbsPerFt","PurchaseCost","Notes","HasEverBeenCheckedOut","LastCheckoutJob","LastCheckoutDate","ZeroedDate","ZeroedReason","ZeroedBy"
"IL-1344","Llumar","V28 SR CDF","60","50","50","748L093","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V28 SR CDF","","","","","SourceSheet=Llumar; SourceRow=2; RawDescription=1344- V28 SR CDF 60""","false","","","","",""
"IL-1444","Llumar","VS 61","60","50","50","D614360","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|VS 61","","","","","SourceSheet=Llumar; SourceRow=3; RawDescription=1444- VS 61 60""","false","","","","",""
"IL-1445","Llumar","VS 61","72","84","84","D640039","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|VS 61","","","","","SourceSheet=Llumar; SourceRow=4; RawDescription=1445- VS 61 72""","false","","","","",""
"IL-1453","Llumar","White NRMW PS","48","11","11","NA","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|WHITE NRMW PS","","","","","SourceSheet=Llumar; SourceRow=6; RawDescription=1453 - White NRMW PS 48""","false","","","","",""
"IL-1534","Llumar","R35","60","61","61","D34994","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|R35","","","","","SourceSheet=Llumar; SourceRow=7; RawDescription=1534- R35 60""","false","","","","",""
"IL-1619","Llumar","NHE 1020","60","94","94","5015627.0","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|NHE 1020","","","","","SourceSheet=Llumar; SourceRow=8; RawDescription=1619- NHE 1020 60""","false","","","","",""
"IL-1620","Llumar","NHE 1020 ER","48","85","85","5006456.0","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|NHE 1020 ER","","","","","SourceSheet=Llumar; SourceRow=9; RawDescription=1620- NHE 1020 ER 48""","false","","","","",""
"IL-2102","Llumar","V28","60","84","84","748L093","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V28","","","","","SourceSheet=Llumar; SourceRow=10; RawDescription=2102- V28  60""","false","","","","",""
"IL-2124","Llumar","N1050","48","20","20","3551857A","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|N1050","","","","","SourceSheet=Llumar; SourceRow=11; RawDescription=2124- N1050 48""","false","","","","",""
"IL-2125","Llumar","N1050","72","19","19","D518133P04","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|N1050","","","","","SourceSheet=Llumar; SourceRow=12; RawDescription=2125- N1050 72""","false","","","","",""
"IL-2272","Llumar","LLUMAR OPAQUE BLACK","60","8","8","5.0157287E7","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|LLUMAR OPAQUE BLACK","","","","","SourceSheet=Llumar; SourceRow=15; RawDescription=2272-LLUMAR OPAQUE BLACK 60""","false","","","","",""
"IL-2403","Llumar","V51","72","8","8","NA","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V51","","","","","SourceSheet=Llumar; SourceRow=18; RawDescription=2403- V51 72""","false","","","","",""
"IL-2582","Llumar","V45","60","16","16","759D056P32","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V45","","","","","SourceSheet=Llumar; SourceRow=19; RawDescription=2582- V45  60""","false","","","","",""
"IL-2605","Llumar","V45","60","28","28","NA","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V45","","","","","SourceSheet=Llumar; SourceRow=20; RawDescription=2605 - V45 60""","false","","","","",""
"IL-2671","Llumar","V 14","60","62","62","819K032","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V 14","","","","","SourceSheet=Llumar; SourceRow=21; RawDescription=2671- V 14 60""","false","","","","",""
"IL-2883","Llumar","V45","60","9","9","760B024","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V45","","","","","SourceSheet=Llumar; SourceRow=22; RawDescription=2883- V45 60""","false","","","","",""
