"BoxID","Manufacturer","FilmName","WidthIn","InitialFeet","FeetAvailable","LotRun","Status","OrderDate","ReceivedDate","InitialWeightLbs","LastRollWeightLbs","LastWeighedDate","FilmKey","CoreType","CoreWeightLbs","LfWeightLbsPerFt","PurchaseCost","Notes","HasEverBeenCheckedOut","LastCheckoutJob","LastCheckoutDate","ZeroedDate","ZeroedReason","ZeroedBy"
"IL-1338","Avery Dennison","Titan 7 Xtra","48","10","10","RU044583","IN_STOCK","2023-02-13","2023-02-13","","","","AVERY DENNISON|TITAN 7 XTRA","","","","","SourceSheet=Avery Dennison; SourceRow=2; RawDescription=1338 - Titan 7 Xtra 48""","false","","","","",""
"IL-1344","Llumar","V28 SR CDF","60","50","50","748L093","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|V28 SR CDF","","","","","SourceSheet=Llumar; SourceRow=2; RawDescription=1344- V28 SR CDF 60""","false","","","","",""
"IL-1364","Solyx","Solyx Silver Etch Stripe SX-2002","60","35","35","","IN_STOCK","2023-07-31","2023-07-31","","","","SOLYX|SOLYX SILVER ETCH STRIPE SX-2002","","","","","SourceSheet=Solyx; SourceRow=56; RawDescription=1364 - Solyx Silver Etch Stripe SX-2002; OutlierFix=2026-03-14; WidthBefore=2; WidthAfter=60; FilmBefore=Solyx Silver Etch Stripe SX-2; FilmAfter=Solyx Silver Etch Stripe SX-2002; Reason=Model code SX-2002 parsed as width 2","false","","","","",""
"IL-1384","Security","Ultra S15","50","12","12","NA","IN_STOCK","2023-07-31","2023-07-31","","","","SECURITY|ULTRA S15","","","","","SourceSheet=Security; SourceRow=2; RawDescription=1384 - Ultra S15 50""","false","","","","",""
"IL-1434","Fasara","3M Venetian SH2FGVN","50","9","9","NA","IN_STOCK","2023-02-13","2023-02-13","","","","FASARA|3M VENETIAN SH2FGVN","","","","","SourceSheet=Fasara; SourceRow=2; RawDescription=1434 - 3M Venetian SH2FGVN 50""","false","","","","",""
"IL-1436","Solyx","VERTICAL STRIPES SX-9200","60","45","45","NA","IN_STOCK","2023-07-31","2023-07-31","","","","SOLYX|VERTICAL STRIPES SX-9200","","","","","SourceSheet=Solyx; SourceRow=2; RawDescription=1436 - VERTICAL STRIPES SX-9200; OutlierFix=2026-03-14; WidthBefore=200; WidthAfter=60; FilmBefore=VERTICAL STRIPES SX-9; FilmAfter=VERTICAL STRIPES SX-9200; Reason=Model code SX-9200 parsed as width 200","false","","","","",""
"IL-1437","Solyx","VERTICAL STRIPES SX-9200","60","46","46","NA","IN_STOCK","2023-07-31","2023-07-31","","","","SOLYX|VERTICAL STRIPES SX-9200","","","","","SourceSheet=Solyx; SourceRow=3; RawDescription=1437 - VERTICAL STRIPES SX-9200; OutlierFix=2026-03-14; WidthBefore=200; WidthAfter=60; FilmBefore=VERTICAL STRIPES SX-9; FilmAfter=VERTICAL STRIPES SX-9200; Reason=Model code SX-9200 parsed as width 200","false","","","","",""
"IL-1438","Solyx","VERTICAL STRIPES 0000","60","15","15","NA","IN_STOCK","2023-07-31","2023-07-31","","","","SOLYX|VERTICAL STRIPES 0000","","","","","ExceptionResolved=missing_width; SourceSheet=Solyx; SourceRow=4; WidthResolution=auto_default_60_user_approved; RawDescription=1438 - VERTICAL STRIPES 0000","false","","","","",""
"IL-1444","Llumar","VS 61","60","50","50","D614360","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|VS 61","","","","","SourceSheet=Llumar; SourceRow=3; RawDescription=1444- VS 61 60""","false","","","","",""
"IL-1445","Llumar","VS 61","72","84","84","D640039","IN_STOCK","2025-07-31","2025-07-31","","","","LLUMAR|VS 61","","","","","SourceSheet=Llumar; SourceRow=4; RawDescription=1445- VS 61 72""","false","","","","",""
