"box_id","sheet","row_number","reason","resolution","width_in","note"
"IL-3127","Di-Noc","2","missing_width","set_width","60","auto_default_60_user_approved"
"IL-3128","Di-Noc","3","missing_width","set_width","60","auto_default_60_user_approved"
"IL-3409","Di-Noc","7","missing_width","set_width","60","auto_default_60_user_approved"
"IL-3961","Di-Noc","15","missing_width","set_width","60","auto_default_60_user_approved"
"IL-5951","Di-Noc","21","missing_width","set_width","60","auto_default_60_user_approved"
"IL-1542","Fasara","4","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2333","Fasara","13","missing_width","set_width","60","auto_default_60_user_approved"
"IL-3118","Fasara","19","missing_width","set_width","60","auto_default_60_user_approved"
"IL-8128","Fasara","22","missing_width","set_width","60","auto_default_60_user_approved"
"IL-3758","Fasara","24","missing_width","set_width","60","auto_default_60_user_approved"
"IL-1452","Llumar","5","missing_width","set_width","60","user_confirmed"
"IL-1452","Llumar","5","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2144","Llumar","13","missing_width","set_width","60","auto_from_description_hint_user_approved"
"IL-2144","Llumar","13","missing_width","set_width","60","user_confirmed"
"IL-2218","Llumar","14","missing_width","set_width","72","auto_from_description_hint_user_approved"
"IL-2291","Llumar","16","missing_width","set_width","60","auto_from_description_hint_user_approved"
"IL-2321","Llumar","17","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2866","Security","14","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2996","Security","15","missing_width","set_width","60","auto_default_60_user_approved"
"IL-1438","Solyx","4","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2137","Solyx","11","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2806","Solyx","22","missing_width","set_width","60","auto_from_description_hint_user_approved"
"IL-3609","Solyx","43","missing_width","set_width","60","auto_from_description_hint_user_approved"
"IL-4083","Solyx","55","missing_width","set_width","54","auto_from_description_hint_user_approved"
"IL-6843","Solyx","146","missing_width","set_width","60","auto_default_60_user_approved"
"IL-2915","Vinyl","13","missing_width","set_width","60","auto_default_60_user_approved"
