"review_index","box_id","film_name","width_in","current_manufacturer","suggested_manufacturer","confidence","source_row","recommendation","rationale","raw_description","decision_status","decision_action","decision_manufacturer","decision_at_utc"
"1","IL-3286","Skylite 20 XTRM","60","Vinyl","Avery Dennison","high","1073","keep","Conservative hold for shorthand/ambiguous pattern.","","resolved","move","Avery Dennison","2026-03-14T22:32:30Z"
"2","IL-3002","S80 60"" (1of 2)","60","Vinyl","Security","medium","1037","keep","Medium/low confidence kept conservative.","","resolved","keep","Vinyl","2026-03-14T22:33:57Z"
"3","IL-1366","Silver S20 8 Mil","60","Vinyl","Security","medium","1223","keep","Medium/low confidence kept conservative.","","resolved","move","Security","2026-03-14T22:34:56Z"
"4","IL-6471","Feather Friendly Symmetry","36","Vinyl","Fasara","medium","1261","keep","Medium/low confidence kept conservative.","","resolved","move","Fasara","2026-03-14T22:38:14Z"
"5","IL-2597","AV Clear 7Mil EXT","72","Vinyl","Security","medium","1328","keep","Medium/low confidence kept conservative.","","resolved","move","Security","2026-03-14T22:39:01Z"
"6","IL-3312","NV 25","60","Vinyl","3M Solar","medium","304","keep","Medium/low confidence kept conservative.","","resolved","move","3M Solar","2026-03-14T22:40:22Z"
"7","IL-5400","FROSTED CRYSTAL60""","60","Vinyl","Fasara","medium","416","keep","Medium/low confidence kept conservative.","","resolved","move","Fasara","2026-03-14T22:40:23Z"
"8","IL-1381","Trident Clear 11mil","60","Vinyl","Security","medium","418","keep","Medium/low confidence kept conservative.","","resolved","move","Security","2026-03-14T22:40:24Z"
"9","IL-9126","NV 35","72","Vinyl","3M Solar","medium","461","keep","Medium/low confidence kept conservative.","","resolved","move","3M Solar","2026-03-14T22:40:25Z"
"10","IL-2967","SOL Ultrasafe WM560 Frost 5MIL","60","Vinyl","Security","medium","9","keep","Medium/low confidence kept conservative.","","resolved","move","Security","2026-03-14T22:40:26Z"
"11","IL-3054","RN 07","48","Vinyl","3M Solar","low","278","keep","Medium/low confidence kept conservative.","","resolved","move","Llumar","2026-03-14T22:41:55Z"
"12","IL-2324","RN 07","72","Vinyl","3M Solar","low","368","keep","Medium/low confidence kept conservative.","","resolved","move","Llumar","2026-03-14T22:43:32Z"
"13","IL-3055","RN 07","60","Vinyl","3M Solar","low","981","keep","Medium/low confidence kept conservative.","","resolved","move","Llumar","2026-03-14T22:43:33Z"
"14","IL-3337","DR 18 Cool","60","Vinyl","3M Solar","low","982","keep","Medium/low confidence kept conservative.","","resolved","move","3M Solar","2026-03-14T22:44:19Z"
