"priority","confidence","source","box_id","film_name","width_in","current_manufacturer","suggested_manufacturer","source_row","order_date","reason","raw_description"
"1","high","default_vinyl","IL-3286","Skylite 20 XTRM","60","Vinyl","Avery Dennison","1073","2026-01-14","Skylite appears under Avery Dennison in baseline","3286 - Skylite 20 XTRM 60"""
"1","high","default_vinyl","IL-3020","PR 40 Ext","60","Vinyl","3M Solar","11","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3020 -PR 40 Ext 60"""
"1","high","default_vinyl","IL-3057","PR 20","36","Vinyl","3M Solar","12","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3057 - PR 20 36"""
"1","high","default_vinyl","IL-3679","PR 70 Ext","36","Vinyl","3M Solar","125","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3679 - PR 70 Ext 36"""
"1","high","default_vinyl","IL-9059","PR 50","72","Vinyl","3M Solar","129","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","9059 - PR 50 72"""
"1","high","default_vinyl","IL-3065","PR 70","72","Vinyl","3M Solar","13","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3065- PR 70  72"""
"1","high","default_vinyl","IL-3448","PR 50","48","Vinyl","3M Solar","155","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3448 - PR 50 48"""
"1","high","default_vinyl","IL-3676","PRX 20 Ext","72","Vinyl","3M Solar","164","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3676 - PRX 20 Ext 72"""
"1","high","default_vinyl","IL-3671","PRX 20 Ext","36","Vinyl","3M Solar","165","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3671 - PRX 20 Ext 36"""
"1","high","default_vinyl","IL-3466","PR 40","72","Vinyl","3M Solar","202","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3466- PR 40  72"""
"1","high","default_vinyl","IL-3143","PR 70","60","Vinyl","3M Solar","26","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3143 - PR 70 60"""
"1","high","default_vinyl","IL-1761","Ceramic 50","72","Vinyl","3M Solar","266","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","1761 - Ceramic 50 72"""
"1","high","default_vinyl","IL-3601","PR 70","72","Vinyl","3M Solar","273","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3601 - PR 70 72"""
"1","high","default_vinyl","IL-3146","PR 70","60","Vinyl","3M Solar","29","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3146 - PR 70 60"""
"1","high","default_vinyl","IL-3405","PR 50","72","Vinyl","3M Solar","311","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3405 - PR 50 72"""
"1","high","default_vinyl","IL-3251","PRX 20 Ext","72","Vinyl","3M Solar","337","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3251 - PRX 20 Ext 72"""
"1","high","default_vinyl","IL-3239","PR 70 Ext","72","Vinyl","3M Solar","36","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3239 - PR 70 Ext 72"""
"1","high","default_vinyl","IL-3267","PR 70 EXT","60","Vinyl","3M Solar","38","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3267 - PR 70 EXT 60"""
"1","high","default_vinyl","IL-3113","PR 70","36","Vinyl","3M Solar","458","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3113 - PR 70 36"""
"1","high","default_vinyl","IL-8149","PR 40","60","Vinyl","3M Solar","460","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","8149 - PR  40 60"""
"1","high","default_vinyl","IL-3335","PR 70","72","Vinyl","3M Solar","47","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3335- PR 70 72"""
"1","high","default_vinyl","IL-3080","PR","60","Vinyl","3M Solar","551","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3080 - PR 60 60"""
"1","high","default_vinyl","IL-3406","PR 20 Ext","60","Vinyl","3M Solar","56","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3406 - PR 20 Ext 60"""
"1","high","default_vinyl","IL-3422","PR 70","48","Vinyl","3M Solar","60","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3422 - PR 70 48"""
"1","high","default_vinyl","IL-3428","PR 50","36","Vinyl","3M Solar","62","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3428 - PR 50 36"""
"1","high","default_vinyl","IL-3441","PR 70","72","Vinyl","3M Solar","63","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3441 - PR 70 72"""
"1","high","default_vinyl","IL-3447","PR 50","36","Vinyl","3M Solar","65","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3447 - PR 50 36"""
"1","high","default_vinyl","IL-3444","PRX 40 EXT","72","Vinyl","3M Solar","676","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3444 - PRX 40 EXT 72"""
"1","high","default_vinyl","IL-3445","PR 40 EXT","72","Vinyl","3M Solar","688","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3445 - PR 40 EXT 72"""
"1","high","default_vinyl","IL-3031","PRX 40 Ext","72","Vinyl","3M Solar","870","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3031 - PRX 40 Ext 72"""
"1","high","default_vinyl","IL-2802","V33","60","Vinyl","Llumar","980","2026-01-14","V33 maps to Llumar in baseline","2802- V33 60"""
"1","high","default_vinyl","IL-3051","PRX 40","36","Vinyl","3M Solar","991","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3051 - PRX 40 36"""
"1","high","default_vinyl","IL-3402","PR 50","48","Vinyl","3M Solar","993","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3402- PR 50  48"""
"1","high","default_vinyl","IL-3673","PRX 20 Ext","60","Vinyl","3M Solar","996","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3673 - PRX 20 Ext 60"""
"1","high","default_vinyl","IL-3674","PRX 20 Ext","60","Vinyl","3M Solar","997","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3674 - PRX 20 Ext 60"""
"1","high","default_vinyl","IL-3675","PRX 40 Ext","60","Vinyl","3M Solar","998","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3675 - PRX 40 Ext 60"""
"1","high","default_vinyl","IL-3677","PRX 40 Ext","60","Vinyl","3M Solar","999","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3677 - PRX 40 Ext 60"""
"2","medium","default_vinyl","IL-3002","S80 60"" (1of 2)","60","Vinyl","Security","1037","2026-01-14","Safety/security-film style cue","3002- S80  60"" (1of 2)"
"2","medium","default_vinyl","IL-1366","Silver S20 8 Mil","60","Vinyl","Security","1223","2026-01-14","Safety/security-film style cue","1366 - Silver S20 8 Mil 60"""
