"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"2","1383 - T2 Clear Fine Brush SXL","NA","IL-1383","1383",,"","","2026-01-14","back_fill_from_next"
"3","1485 - PR 70 60""","NA","IL-1485","1485","60","","","2026-01-14","back_fill_from_next"
"4","1487 - PR 70 72""","NA","IL-1487","1487","72","","","2026-01-14","back_fill_from_next"
"5","2203 - 3M Straight Washi SH2FGSW","NA","IL-2203","2203",,"","","2026-01-14","back_fill_from_next"
"6","2819- 3M Dusted Crystal 60""","G2006302","IL-2819","2819","60","0.0","","2026-01-14","back_fill_from_next"
"7","2880 - SOL- SXWF-WO WHITEOUT 72""","NA","IL-2880","2880","72","","","2026-01-14","back_fill_from_next"
"8","2960 - SG Slate 40 48""","5.40405503E9","IL-2960","2960","48","0.0","","2026-01-14","back_fill_from_next"
"9","2967 -SOL Ultrasafe WM560 Frost 5MIL","NA","IL-2967","2967",,"","","2026-01-14","back_fill_from_next"
"10","2996 - SOL Ultrasafe WM560 2 of 3","NA","IL-2996","2996",,"","","2026-01-14","back_fill_from_next"
"11","3020 -PR 40 Ext 60""","A273323771","IL-3020","3020","60","0.0","","2026-01-14","back_fill_from_next"
"12","3057 - PR 20 36""","B088323921","IL-3057","3057","36","0.0","","2026-01-14","back_fill_from_next"
"13","3065- PR 70  72""","B084323918","IL-3065","3065","72","0.0","","2026-01-14","back_fill_from_next"
"14","3076 - 3M NV 25 36""","B014323851","IL-3076","3076","36","0.0","","2026-01-14","back_fill_from_next"
"15","3079 - 3M NV 35 48""","B099323937","IL-3079","3079","48","","","2026-01-14","back_fill_from_next"
"16","3084 - SG SLATE 30 60""","NA","IL-3084","3084","60","","","2026-01-14","back_fill_from_next"
"17","3086-3M Ultra800 60""","B131323955","IL-3086","3086","60","","","2026-01-14","back_fill_from_next"
"18","3087-3M Ultra800 72""","B131323955","IL-3087","3087","72","0.0","","2026-01-14","back_fill_from_next"
"19","3097- 3M PR 70 36""","NA","IL-3097","3097","36","0.0","","2026-01-14","back_fill_from_next"
"20","3099 - 3M NV 35 36""","B017323853","IL-3099","3099","36","","","2026-01-14","back_fill_from_next"
"21","3109 - 3M Anti Graffiti-6 60""","2100919.0","IL-3109","3109","60","","","2026-01-14","back_fill_from_next"
"22","3114 - 3M NV 25 48""","B098323936","IL-3114","3114","48","0.0","","2026-01-14","back_fill_from_next"
"23","3119 - 3M NV 35 72""","B093323927","IL-3119","3119","72","","","2026-01-14","back_fill_from_next"
"24","3122- LLUMAR FROST NRM PS2 60""","491A082","IL-3122","3122","60","","","2026-01-14","back_fill_from_next"
"25","3141 - 3M NV 15 60""","B094323932","IL-3141","3141","60","","","2026-01-14","back_fill_from_next"
"26","3143 - PR 70 60""","B113323943","IL-3143","3143","60","0.0","","2026-01-14","back_fill_from_next"
"27","3144 - 3M NV 35 60""","B099323937","IL-3144","3144","60","0.0","","2026-01-14","back_fill_from_next"
"28","3146 - PR 70 60""","B113323943","IL-3146","3146","60","0.0","","2026-01-14","back_fill_from_next"
"29","3146 - PR 70 60""","B113323943","IL-3146","3146","60","","","2026-01-14","back_fill_from_next"
"30","3154 - Panaroma Slate 40 48""","5.409600044E9","IL-3154","3154","48","","","2026-01-14","back_fill_from_next"
"31","3190-Vista Neutral 45 36""","749A049P07","IL-3190","3190","36","","","2026-01-14","back_fill_from_next"
"32","3200 - 3M Affinity 30 72""","6.2017135E7","IL-3200","3200","72","","","2026-01-14","back_fill_from_next"
"33","3200 - 3M Affinity 30 72""","6.2017135E7","IL-3200","3200","72","","","2026-01-14","back_fill_from_next"
"34","3210 - LLUMAR FROST 60""","491F084","IL-3210","3210","60","","","2026-01-14","back_fill_from_next"
"35","3237 - Oracal Matte Black 751 48""","NA","IL-3237","3237","48","","","2026-01-14","back_fill_from_next"
"36","3239 - PR 70 Ext 72""","B141323963","IL-3239","3239","72","","","2026-01-14","back_fill_from_next"
"37","3258 - 3M PR 70 36""","C010324203","IL-3258","3258","36","0.0","","2026-01-14","back_fill_from_next"
"38","3267 - PR 70 EXT 60""","B177323994","IL-3267","3267","60","","","2026-01-14","back_fill_from_next"
"39","3268 - Sterling 70 72""","5.405879013E9","IL-3268","3268","72","","","2026-01-14","back_fill_from_next"
"40","3284 - 3M NV 35 36""","B081323855","IL-3284","3284","36","0.0","","2026-01-14","back_fill_from_next"
"41","3285 - 3M NV 35 60""","B100323938","IL-3285","3285","60","0.0","","2026-01-14","back_fill_from_next"
"42","3300 - 3M 7 MIL Ext 72""","B203324022","IL-3300","3300","72","","","2026-01-14","back_fill_from_next"
"43","3303 - 3M Frosted Crystal 7725SE-324 60""","H17232","IL-3303","3303","60","0.0","","2026-01-14","back_fill_from_next"
"44","3310- LLUMAR FROST NRMPS2 36""","4811014P16","IL-3310","3310","36","","","2026-01-14","back_fill_from_next"
"45","3321- LLUMAR FROST NRM PS2 60""","441J023","IL-3321","3321","60","","","2026-01-14","back_fill_from_next"
"46","3329 - SOL SX-SC544 Rain Glass 48""","NA","IL-3329","3329","48","","","2026-01-14","back_fill_from_next"
"47","3335- PR 70 72""","B225324055","IL-3335","3335","72","0.0","","2026-01-14","back_fill_from_next"
"48","3352 - 3M NV 15 72""","B261324096","IL-3352","3352","72","","","2026-01-14","back_fill_from_next"
"49","3353 - 3M NV 15 48""","B261324096","IL-3353","3353","48","","","2026-01-14","back_fill_from_next"
"50","3365 - SOL TRANSPARENT WHITE MATTE SXWF-TWM 48""","NA","IL-3365","3365","48","","","2026-01-14","back_fill_from_next"
"51","3390- LLUMAR FROST NRM PS2 48""","5.0148732E7","IL-3390","3390","48","","","2026-01-14","back_fill_from_next"
"52","3391- LLUMAR FROST NRM PS2 48""","5.0148732E7","IL-3391","3391","48","","","2026-01-14","back_fill_from_next"
"53","3392- LLUMAR FROST NRM PS2 48""","5.0148732E7","IL-3392","3392","48","","","2026-01-14","back_fill_from_next"
"54","3393- LLUMAR FROST NRM PS2 48""","5.0148732E7","IL-3393","3393","48","","","2026-01-14","back_fill_from_next"
"55","3394 - LLUMAR FROST 60""","5.0148732E7","IL-3394","3394","60","","","2026-01-14","back_fill_from_next"
"56","3406 - PR 20 Ext 60""","NA","IL-3406","3406","60","0.0","","2026-01-14","back_fill_from_next"
"57","3415 - SOLYX SGD-6003 CROSHANA 58""","NA","IL-3415","3415","58","","","2026-01-14","back_fill_from_next"
"58","3418 - SOLYX SX-SC555 Titanium Sand 35.5""","NA","IL-3418","3418",,"","","2026-01-14","back_fill_from_next"
"59","3419- SAN MARINO  SH2MAMM 50""","JR-45103793-1","IL-3419","3419","50","","","2026-01-14","back_fill_from_next"
"60","3422 - PR 70 48""","NA","IL-3422","3422","48","0.0","","2026-01-14","back_fill_from_next"
"61","3424 - LLUMAR FROST 72""","412B038","IL-3424","3424","72","","","2026-01-14","back_fill_from_next"
"62","3428 - PR 50 36""","B324324172","IL-3428","3428","36","0.0","","2026-01-14","back_fill_from_next"
"63","3441 - PR 70 72""","C011332424","IL-3441","3441","72","","","2026-01-14","back_fill_from_next"
