boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-1797","ZEROED","3M Fasara","Arpa SH2FGAP","50","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-3133","ZEROED","Solar Gard","SX 50","48","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-3591","ZEROED","Di-Noc","3M Di-Noc High Gloss Fire Brick HG1511","48","0","0","2023-02-13","2023-02-13","","","2023-02-13","Missing quantity in source workbook","migration"
"IL1-3635","ZEROED","3M Solar","Night Vision 35","48","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-3657","ZEROED","Solar Gard","Truevue 15","36","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-3670","ZEROED","3M Solar","Prestige 60","48","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-3935","ZEROED","Llumar","Silver Sparkle","60","0","0","2025-07-31","2025-07-31","","","2025-07-31","Missing quantity in source workbook","migration"
"IL1-4096","ZEROED","Llumar","V33","36","8","0","2025-08-13","2025-08-21","","","2026-03-24","Auto-zeroed because Available Feet and Last Roll Weight reached 0.","rob <rob@mgtfilm.com>"
"IL1-5178","ZEROED","Security","Madico 7 MIL EXT CL700E","60","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-5897","ZEROED","3M Solar","Affinity 15","72","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-6204","ZEROED","Vinyl","Oracal 751 White","48","15","0","2025-06-19","2025-06-23","","","2026-03-17","Auto-zeroed because Available Feet and Last Roll Weight reached 0.","Rob <rob@mgtfilms.com>"
"IL1-6205","ZEROED","3M Solar","Prestige 20 Exterior","60","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-6228","ZEROED","3M Solar","Prestige 70 Exterior","60","0","0","2023-07-31","2023-07-31","","","2023-07-31","Missing quantity in source workbook","migration"
"IL1-6295","ZEROED","Security","3M S140","60","0","0","2023-07-31","2023-07-31","","","2023-07-31","Missing quantity in source workbook","migration"
"IL1-6527","ZEROED","SOLYX","SXJ-0561 Fine Dots Gradient","60","10","0","2025-09-16","2025-09-24","","","2026-03-24","Auto-zeroed because Available Feet and Last Roll Weight reached 0.","rob <rob@mgtfilm.com>"
"IL1-6677","ZEROED","3M Solar","Prestige 20 Exterior","60","0","0","2026-01-14","2026-01-14","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL1-6705","ZEROED","Llumar","Frost (NRM PS2)","48","0","0","2026-02-26","2026-02-26","","","2026-02-26","Imported from Zeroed Out Inventory tab","migration"
"IL1-6737","ZEROED","Security","3M S140","60","0","0","2026-02-04","2026-02-04","","","2026-02-04","Imported from Zeroed Out Inventory tab","migration"
"IL1-6777","ZEROED","Vinyl","Oracal 8500 Middle Gray","48","0","0","2025-02-13","2025-02-13","","","2025-02-13","Missing quantity in source workbook","migration"
"IL1-6786","ZEROED","SOLYX","Dark Black SXP-014","60","10","0","2023-07-31","2023-07-31","","","2026-03-23","Auto-zeroed because Available Feet and Last Roll Weight reached 0. Additional note: Confirmed zero Last Roll Weight edit save","rob <rob@mgtfilm.com>"
"IL1-6881","ZEROED","SOLYX","1"" Reeded Glass SX-1255","60","65","0","2026-02-24","2026-02-26","","","2026-04-02","Auto-zeroed because Available Feet and Last Roll Weight reached 0.","Rob <rob@mgtfilms.com>"
