boxId,manufacturer,filmName,widthIn,statusBefore,logId,warnings
"IL1-1338","Avery Dennison","Titan 7 Xtra","48","IN_STOCK","20260403024756149-210",""
"IL1-1384","Security","Ultra S15","50","IN_STOCK","20260403024756434-129",""
"IL1-1448","Vinyl","Oracal 651 White Glossy","48","IN_STOCK","20260403024756703-994",""
"IL1-1472","Avery Dennison","SkyLite 20 XTRM Poly","48","IN_STOCK","20260403024756968-397",""
"IL1-1485","Security","3M Ultra Prestige 70","60","IN_STOCK","20260403024757225-206",""
"IL1-1798","3M Fasara","Arpa SH2FGAP","50","IN_STOCK","20260403024757485-525",""
"IL1-1799","ASWFVKOOL","ASWF BLACK OPAQUE","48","IN_STOCK","20260403024757746-036",""
"IL1-1801","ASWFVKOOL","ASWF FROST REMOVABLE","36","IN_STOCK","20260403024757998-686",""
"IL1-1802","ASWFVKOOL","ASWF FROST REMOVABLE","48","IN_STOCK","20260403024758253-280",""
"IL1-1806","ASWFVKOOL","ASWF WHITE OPAQUE","72","IN_STOCK","20260403024758515-153",""
"IL1-2064","Security","3M Ultra S600","14","IN_STOCK","20260403024758785-245",""
"IL1-2208","Security","3M Ultra Prestige 70","36","IN_STOCK","20260403024759045-919",""
"IL1-2209","Security","3M Ultra Prestige 70","60","IN_STOCK","20260403024759324-579",""
"IL1-2278","Vinyl","Safron 818","30","IN_STOCK","20260403024759582-230",""
"IL1-2289","Security","7 MIL","72","IN_STOCK","20260403024759843-179",""
"IL1-2335","Security","3M Ultra S600","60","IN_STOCK","20260403024800103-515",""
"IL1-2336","Security","3M Ultra S600","60","IN_STOCK","20260403024800364-032",""
"IL1-2337","Security","3M Ultra S600","60","IN_STOCK","20260403024800630-920",""
"IL1-2385","Security","3M AG","60","IN_STOCK","20260403024800899-905",""
"IL1-2386","Security","3M AG","72","IN_STOCK","20260403024801150-644",""
"IL1-2676","3M Solar","Amber Low E 20","40","IN_STOCK","20260403024801412-862",""
"IL1-2692","Avery Dennison","Titan 7 Xtra","60","IN_STOCK","20260403024801672-035",""
"IL1-2771","3M Solar","Privacy Mirror","60","IN_STOCK","20260403024801933-607",""
"IL1-2856","Security","AV Clear 7 MIL","60","IN_STOCK","20260403024802192-032",""
"IL1-2866","Security","Madico Blister Free","60","IN_STOCK","20260403024802453-715",""
"IL1-2938","Avery Dennison","HT ELITE","48","IN_STOCK","20260403024802712-336",""
"IL1-2969","3M Fasara","Cielo SH2FGCE","50","IN_STOCK","20260403024802971-017",""
"IL1-2996","Security","SOL Ultrasafe WM560","60","IN_STOCK","20260403024803240-445",""
"IL1-3013","Vinyl","PERF ONE WAY","72","IN_STOCK","20260403024803497-239",""
"IL1-3018","Security","3M S70","72","IN_STOCK","20260403024803743-515",""
"IL1-3021","Vinyl","Perforated One-Way (White)","54","IN_STOCK","20260403024804004-683",""
"IL1-3107","Avery Dennison","Silver 20 Poly EXT","60","IN_STOCK","20260403024804265-994",""
"IL1-3123","Security","3M S40 ext","60","IN_STOCK","20260403024804524-627",""
"IL1-3127","Di-Noc","3M Di-Noc AE-1913MT","60","IN_STOCK","20260403024804785-965",""
"IL1-3128","Di-Noc","3M Di-Noc PS1183 (192')","60","IN_STOCK","20260403024805062-396",""
"IL1-3171","Solar Gard","Panaroma Slate 20","72","IN_STOCK","20260403024805321-528",""
"IL1-3181","SOLYX","SXJ-0547 Feather Gradient","71","IN_STOCK","20260403024805573-797",""
"IL1-3194","3M Fasara","Dusted Crystal","18","IN_STOCK","20260403024805848-215",""
"IL1-3318","Security","SOL Ultrasafe WM560","60","IN_STOCK","20260403024806125-430",""
"IL1-3331","Vinyl","651 Black Matte","48","IN_STOCK","20260403024806391-489",""
"IL1-3401","Di-Noc","3M Di-Noc Wood Grain-1147","48","IN_STOCK","20260403024806651-500",""
"IL1-3442","Di-Noc","3M Di-Noc Fine Wood-1771H","48","IN_STOCK","20260403024806911-167",""
"IL1-3469","ASWFVKOOL","ASWF REMOVABLE WHITE FROST","60","IN_STOCK","20260403024807171-922",""
"IL1-3533","Vinyl","3M Black Electrocut","60","IN_STOCK","20260403024807441-488",""
"IL1-3648","Avery Dennison","DR Grey 20X","60","IN_STOCK","20260403024807702-107",""
"IL1-3649","Avery Dennison","Ex Silver 20","48","IN_STOCK","20260403024807954-173",""
"IL1-3708","Security","Llumar PS-8 Silver","72","IN_STOCK","20260403024808200-666",""
