boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-1344","IN_STOCK","Llumar","V28 SR CDF","60","50","50","2025-07-31","2025-07-31","","","","",""
"IL1-1364","IN_STOCK","SOLYX","Silver Etch Stripe SX-2002","60","35","35","2023-07-31","2023-07-31","","","","",""
"IL1-1434","IN_STOCK","3M Fasara","Venetian SH2FGVN","50","9","9","2023-02-13","2023-02-13","","","","",""
"IL1-1436","IN_STOCK","SOLYX","VERTICAL STRIPES SX-9200","60","45","45","2023-07-31","2023-07-31","","","","",""
"IL1-1437","IN_STOCK","SOLYX","VERTICAL STRIPES SX-9200","60","46","46","2023-07-31","2023-07-31","","","","",""
"IL1-1438","IN_STOCK","SOLYX","VERTICAL STRIPES 0000","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-1444","IN_STOCK","Llumar","VS 61","60","50","50","2025-07-31","2025-07-31","","","","",""
"IL1-1445","IN_STOCK","Llumar","VS 61","72","84","84","2025-07-31","2025-07-31","","","","",""
"IL1-1452","IN_STOCK","Llumar","White Matte","60","20","20","2025-07-31","2025-07-31","","","","",""
"IL1-1453","IN_STOCK","Llumar","White NRMW PS","48","11","11","2025-07-31","2025-07-31","","","","",""
"IL1-1456","IN_STOCK","SOLYX","WHITE RICE PAPER SXG-001","18","40","40","2023-07-31","2023-07-31","","","","",""
"IL1-1457","IN_STOCK","SOLYX","WHITE RICE PAPER SXG-0","18","23","23","2023-07-31","2023-07-31","","","","",""
"IL1-1511","IN_STOCK","3M Solar","Prestige 60","36","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-1524","IN_STOCK","3M Fasara","PRISM SILVER SH2CSPS","50","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-1534","IN_STOCK","Llumar","R35","60","61","61","2025-07-31","2025-07-31","","","","",""
"IL1-1537","IN_STOCK","SOLYX","Regimental Bars 131","36","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-1542","IN_STOCK","3M Fasara","RIKYU SH2TPTRK","60","13","13","2023-02-13","2023-02-13","","","","",""
"IL1-1619","IN_STOCK","Llumar","NHE 1020","60","94","94","2025-07-31","2025-07-31","","","","",""
"IL1-1620","IN_STOCK","Llumar","NHE 1020","48","85","85","2025-07-31","2025-07-31","","","","",""
"IL1-1764","IN_STOCK","SOLYX","CLEAR BRUSH SXHE-02","36","43","43","2023-07-31","2023-07-31","","","","",""
"IL1-1774","IN_STOCK","3M Fasara","CLOUD SH2FGL","60","24","24","2023-02-13","2023-02-13","","","","",""
"IL1-1780","IN_STOCK","SOLYX","SX-SC540 Cracked Ice Static Cling","14","65","65","2023-07-31","2023-07-31","","","","",""
"IL1-1784","IN_STOCK","3M Fasara","Acid Etch SXC-314","50","85","85","2023-02-13","2023-02-13","","","","",""
"IL1-1807","IN_STOCK","3M Fasara","AURA 9 SH2PCA9","50","12","12","2023-02-13","2023-02-13","","","","",""
"IL1-2071","IN_STOCK","3M Fasara","Weave Pearl SH2EMWP","50","30","30","2023-02-13","2023-02-13","","","","",""
"IL1-2102","IN_STOCK","Llumar","V28","60","84","84","2025-07-31","2025-07-31","","","","",""
"IL1-2124","IN_STOCK","Llumar","N1050","48","20","20","2025-07-31","2025-07-31","","","","",""
"IL1-2125","IN_STOCK","Llumar","N1050","72","19","19","2025-07-31","2025-07-31","","","","",""
"IL1-2132","IN_STOCK","SOLYX","GLOSS BLACK VINYL","48","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-2137","IN_STOCK","SOLYX","SX-1000 Fine Cast Sand Blast","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-2140","IN_STOCK","SOLYX","Traffic Blue 48"" SXO-","57","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-2144","IN_STOCK","Llumar","Mini Dots GRADIENT","60","14","14","2025-07-31","2025-07-31","","","","",""
"IL1-2147","IN_STOCK","SOLYX","CHARCOAL MATTE SXWF-CM","60","25","25","2023-07-31","2023-07-31","","","","",""
"IL1-2148","IN_STOCK","SOLYX","CHARCOAL MATTE SXWF-CM","60","40","40","2023-07-31","2023-07-31","","","","",""
"IL1-2152","IN_STOCK","SOLYX","GLOSS BLACK VINYL SXV-9-1003","60","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-2159","IN_STOCK","3M Fasara","Lontano SH2FGLO","50","28","28","2023-02-13","2023-02-13","","","","",""
"IL1-2164","IN_STOCK","3M Solar","Amber Low E 35","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-2165","IN_STOCK","SOLYX","SXJ-0545 Beach Grass Gradient","71","32","32","2023-07-31","2023-07-31","","","","",""
"IL1-2218","IN_STOCK","Llumar","TH E-80 (The-80 blue)","72","75","75","2025-07-31","2025-07-31","","","","",""
"IL1-2246","IN_STOCK","SOLYX","SX-C387 Linen","60","16","16","2023-07-31","2023-07-31","","","","",""
"IL1-2252","IN_STOCK","3M Fasara","Aerina SH2FGAR","50","12","12","2023-02-13","2023-02-13","","","","",""
"IL1-2272","IN_STOCK","Llumar","OPAQUE BLACK","60","8","8","2025-07-31","2025-07-31","","","","",""
"IL1-2279","IN_STOCK","Vinyl","Papyrus 816","60","30","30","2025-02-13","2025-02-13","","","","",""
"IL1-2283","IN_STOCK","SOLYX","BRUSHED METAL SXS-M300","54","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-2291","IN_STOCK","Llumar","Mini Dots GRADIENT","60","25","25","2025-07-31","2025-07-31","","","","",""
"IL1-2304","IN_STOCK","3M Fasara","Lausanne SH2EMLA","50","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-2321","IN_STOCK","Llumar","Frost (NRM PS2)","60","23","23","2025-07-31","2025-07-31","","","","",""
"IL1-2333","IN_STOCK","3M Fasara","Rikyu SH2PTRK","60","14","14","2023-02-13","2023-02-13","","","","",""
"IL1-2349","IN_STOCK","Solar Gard","Sterling 50","36","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-2361","IN_STOCK","Vinyl","3M 7125 Dark Grey 41","48","20","20","2025-02-13","2025-02-13","","","","",""
"IL1-2403","IN_STOCK","Llumar","V51","72","8","8","2025-07-31","2025-07-31","","","","",""
"IL1-2409","IN_STOCK","Vinyl","Oracal 8500 Middle Gray","7","150","150","2025-02-13","2025-02-13","","","","",""
"IL1-2410","IN_STOCK","Vinyl","Oracal 8500 Middle Gray","7","7","7","2025-02-13","2025-02-13","","","","",""
"IL1-2411","IN_STOCK","Vinyl","Oracal 8500 Middle Gray","7","150","150","2025-02-13","2025-02-13","","","","",""
"IL1-2582","IN_STOCK","Llumar","V45","60","16","16","2025-07-31","2025-07-31","","","","",""
"IL1-2598","IN_STOCK","Vinyl","Oracal Matte Black","24","17","17","2025-02-13","2025-02-13","","","","",""
"IL1-2605","IN_STOCK","Llumar","V45","60","28","28","2025-07-31","2025-07-31","","","","",""
"IL1-2613","IN_STOCK","SOLYX","Organic Strie SX-5015","48","90","90","2023-07-31","2023-07-31","","","","",""
"IL1-2670","IN_STOCK","SOLYX","SX3-314 Acid Etch","60","18","18","2023-07-31","2023-07-31","","","","",""
"IL1-2671","IN_STOCK","Llumar","V 14","60","62","62","2025-07-31","2025-07-31","","","","",""
"IL1-2706","IN_STOCK","Vinyl","Oracal 8500 Middle Gray","48","15","15","2025-02-13","2025-02-13","","","","",""
"IL1-2734","IN_STOCK","Vinyl","Oracal Dark Roast","48","72","72","2025-02-13","2025-02-13","","","","",""
"IL1-2778","IN_STOCK","3M Solar","Prestige 60","60","5","5","2023-07-31","2023-07-31","","","","",""
"IL1-2804","IN_STOCK","SOLYX","SX-C384 ETCHED STRIPES","36","14","14","2023-07-31","2023-07-31","","","","",""
"IL1-2806","IN_STOCK","SOLYX","Dual Misty Fost SXJ-0598 GRADIANT","60","8","8","2023-07-31","2023-07-31","","","","",""
"IL1-2809","IN_STOCK","3M Fasara","FEATHER FRIENDLY RAIN","36","50","50","2023-02-13","2023-02-13","","","","",""
"IL1-2814","IN_STOCK","3M Fasara","Aerina SH2FGAR","50","29","29","2023-02-13","2023-02-13","","","","",""
"IL1-2865","IN_STOCK","Vinyl","Oracal 951-090 Silver Metallic","48","65","65","2025-02-13","2025-02-13","","","","",""
"IL1-2883","IN_STOCK","Llumar","V45","60","9","9","2025-07-31","2025-07-31","","","","",""
"IL1-2891","IN_STOCK","SOLYX","SXGF-0500 Clear Frosted Safety Film","60","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-2897","IN_STOCK","SOLYX","SILVER UltraCool-S3560","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-2911","IN_STOCK","3M Fasara","Matte Crystal SH2MACRX2","60","40","40","2023-02-13","2023-02-13","","","","",""
"IL1-2915","IN_STOCK","Vinyl","3M BLACK GLOSSY 3635-22B","60","122","122","2025-02-13","2025-02-13","","","","",""
"IL1-2932","IN_STOCK","SOLYX","SX-3140 Dusted Crystal","60","14","14","2023-07-31","2023-07-31","","","","",""
"IL1-3017","IN_STOCK","SOLYX","SXO-031 Red","48","35","35","2023-07-31","2023-07-31","","","","",""
"IL1-3053","IN_STOCK","SOLYX","SXF-0600 Snow White Light Diffuser","60","18","18","2023-07-31","2023-07-31","","","","",""
"IL1-3070","IN_STOCK","SOLYX","SXO-047 Orange Red","48","35","35","2023-07-31","2023-07-31","","","","",""
"IL1-3074","IN_STOCK","Vinyl","3M Opaque Black","50","9","9","2025-02-13","2025-02-13","","","","",""
"IL1-3098","IN_STOCK","3M Fasara","Grain Silver SH2CSGS","50","7","7","2023-02-13","2023-02-13","","","","",""
"IL1-3118","IN_STOCK","3M Fasara","Cloud SH2FGCL","60","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-3134","IN_STOCK","Solar Gard","SX 50","60","13","13","2023-07-31","2023-07-31","","","","",""
"IL1-3137","IN_STOCK","Vinyl","3M White Translucent-3630","48","132","132","2025-02-13","2025-02-13","","","","",""
"IL1-3138","IN_STOCK","3M Solar","Thinsulate 75","72","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-3153","IN_STOCK","SOLYX","SX-C373 Acid Etch Stripes","48","12","12","2023-07-31","2023-07-31","","","","",""
"IL1-3189","IN_STOCK","Solar Gard","Silver 35","72","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-3257","IN_STOCK","SOLYX","SXF-5050 Total Light Blockout","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-3265","IN_STOCK","SOLYX","BLACK BLOCK OUT GLOSSY","72","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-3289","IN_STOCK","Di-Noc","DI-NOC PS-959","60","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-3294","IN_STOCK","SOLYX","SGC6523 - COVENTRY","58","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-3304","IN_STOCK","Llumar","3258 - LLUMAR MIST","48","7","7","2025-07-31","2025-07-31","","","","",""
"IL1-3307","IN_STOCK","SOLYX","Bird Safety Film Dot (sx-bsfd)","72","25","25","2023-07-31","2023-07-31","","","","",""
"IL1-3351","IN_STOCK","SOLYX","SX-3147 Dusted Waters","24","10","10","2023-07-31","2023-07-31","","","","",""
