boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-1338","IN_STOCK","Avery Dennison","Titan 7 Xtra","48","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-1384","IN_STOCK","Security","Ultra S15","50","12","12","2023-07-31","2023-07-31","","","","",""
"IL1-1448","IN_STOCK","Vinyl","Oracal 651 White Glossy","48","17","17","2025-02-13","2025-02-13","","","","",""
"IL1-1472","IN_STOCK","Avery Dennison","SkyLite 20 XTRM Poly","48","35","35","2023-02-13","2023-02-13","","","","",""
"IL1-1485","IN_STOCK","Security","3M Ultra Prestige 70","60","8","8","2023-07-31","2023-07-31","","","","",""
"IL1-1798","IN_STOCK","3M Fasara","Arpa SH2FGAP","50","13","13","2023-02-13","2023-02-13","","","","",""
"IL1-1799","IN_STOCK","ASWFVKOOL","ASWF BLACK OPAQUE","48","35","35","2023-02-13","2023-02-13","","","","",""
"IL1-1801","IN_STOCK","ASWFVKOOL","ASWF FROST REMOVABLE","36","26","26","2023-02-13","2023-02-13","","","","",""
"IL1-1802","IN_STOCK","ASWFVKOOL","ASWF FROST REMOVABLE","48","6","6","2023-02-13","2023-02-13","","","","",""
"IL1-1806","IN_STOCK","ASWFVKOOL","ASWF WHITE OPAQUE","72","19","19","2023-02-13","2023-02-13","","","","",""
"IL1-2064","IN_STOCK","Security","3M Ultra S600","14","88","88","2023-07-31","2023-07-31","","","","",""
"IL1-2208","IN_STOCK","Security","3M Ultra Prestige 70","36","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-2209","IN_STOCK","Security","3M Ultra Prestige 70","60","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-2278","IN_STOCK","Vinyl","Safron 818","30","30","30","2025-02-13","2025-02-13","","","","",""
"IL1-2289","IN_STOCK","Security","7 MIL","72","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-2335","IN_STOCK","Security","3M Ultra S600","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-2336","IN_STOCK","Security","3M Ultra S600","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-2337","IN_STOCK","Security","3M Ultra S600","60","74","74","2023-07-31","2023-07-31","","","","",""
"IL1-2385","IN_STOCK","Security","3M AG","60","91","91","2023-07-31","2023-07-31","","","","",""
"IL1-2386","IN_STOCK","Security","3M AG","72","85","85","2023-07-31","2023-07-31","","","","",""
"IL1-2676","IN_STOCK","3M Solar","Amber Low E 20","40","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-2692","IN_STOCK","Avery Dennison","Titan 7 Xtra","60","74","74","2023-02-13","2023-02-13","","","","",""
"IL1-2771","IN_STOCK","3M Solar","Privacy Mirror","60","14","14","2023-07-31","2023-07-31","","","","",""
"IL1-2856","IN_STOCK","Security","AV Clear 7 MIL","60","16","16","2023-07-31","2023-07-31","","","","",""
"IL1-2866","IN_STOCK","Security","Madico Blister Free","60","17","17","2023-07-31","2023-07-31","","","","",""
"IL1-2938","IN_STOCK","Avery Dennison","HT ELITE","48","53","53","2023-02-13","2023-02-13","","","","",""
"IL1-2969","IN_STOCK","3M Fasara","Cielo SH2FGCE","50","20","20","2023-02-13","2023-02-13","","","","",""
"IL1-2996","IN_STOCK","Security","SOL Ultrasafe WM560","60","80","80","2023-07-31","2023-07-31","","","","",""
"IL1-3013","IN_STOCK","Vinyl","PERF ONE WAY","72","100","100","2025-02-13","2025-02-13","","","","",""
"IL1-3018","IN_STOCK","Security","3M S70","72","28","28","2023-07-31","2023-07-31","","","","",""
"IL1-3021","IN_STOCK","Vinyl","Perforated One-Way (White)","54","15","15","2025-02-13","2025-02-13","","","","",""
"IL1-3107","IN_STOCK","Avery Dennison","Silver 20 Poly EXT","60","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-3123","IN_STOCK","Security","3M S40 ext","60","65","65","2023-07-31","2023-07-31","","","","",""
"IL1-3127","IN_STOCK","Di-Noc","3M Di-Noc AE-1913MT","60","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-3128","IN_STOCK","Di-Noc","3M Di-Noc PS1183 (192')","60","61","61","2023-02-13","2023-02-13","","","","",""
"IL1-3171","IN_STOCK","Solar Gard","Panaroma Slate 20","72","9","9","2023-07-31","2023-07-31","","","","",""
"IL1-3181","IN_STOCK","SOLYX","SXJ-0547 Feather Gradient","71","18","18","2023-07-31","2023-07-31","","","","",""
"IL1-3194","IN_STOCK","3M Fasara","Dusted Crystal","18","18","18","2023-02-13","2023-02-13","","","","",""
"IL1-3318","IN_STOCK","Security","SOL Ultrasafe WM560","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-3331","IN_STOCK","Vinyl","651 Black Matte","48","12","12","2025-02-13","2025-02-13","","","","",""
"IL1-3401","IN_STOCK","Di-Noc","3M Di-Noc Wood Grain-1147","48","7","7","2023-02-13","2023-02-13","","","","",""
"IL1-3442","IN_STOCK","Di-Noc","3M Di-Noc Fine Wood-1771H","48","13","13","2023-02-13","2023-02-13","","","","",""
"IL1-3469","IN_STOCK","ASWFVKOOL","ASWF REMOVABLE WHITE FROST","60","6","6","2023-02-13","2023-02-13","","","","",""
"IL1-3533","IN_STOCK","Vinyl","3M Black Electrocut","60","10","10","2025-02-13","2025-02-13","","","","",""
"IL1-3648","IN_STOCK","Avery Dennison","DR Grey 20X","60","25","25","2023-02-13","2023-02-13","","","","",""
"IL1-3649","IN_STOCK","Avery Dennison","Ex Silver 20","48","54","54","2023-02-13","2023-02-13","","","","",""
"IL1-3708","IN_STOCK","Security","Llumar PS-8 Silver","72","25","25","2023-07-31","2023-07-31","","","","",""
"IL1-3709","IN_STOCK","Security","3M S2400","36","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-3710","IN_STOCK","Security","3M S2400","60","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-3739","IN_STOCK","Avery Dennison","R Silver 20X Poly","60","28","28","2023-02-13","2023-02-13","","","","",""
"IL1-3793","IN_STOCK","Avery Dennison","DR Grey 10X","60","13","13","2023-02-13","2023-02-13","","","","",""
"IL1-4019","IN_STOCK","Avery Dennison","Silver 20 EXTRM (exterior)","48","100","100","2023-02-13","2023-02-13","","","","",""
