boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-6129","CHECKED_OUT","Security","Madico Safetyshield 1500","60","10","0","2023-07-31","2023-07-31","16961","2026-03-20","","",""
"IL1-6408","CHECKED_OUT","Security","3M Ultra S800","36","98","53","2023-07-31","2023-07-31","16960","2026-03-23","","",""
"IL1-6441","CHECKED_OUT","Security","Madico Safetyshield 1500","72","10","8","2023-07-31","2023-07-31","16961","2026-03-20","","",""
"IL1-6601","CHECKED_OUT","Security","Madico Safetyshield 1500","60","10","10","2023-07-31","2023-07-31","16961","2026-03-20","","",""
"IL1-6628","CHECKED_OUT","Llumar","V33","36","36","0","2025-07-30","2025-08-01","11304","2026-03-12","","",""
"IL1-6688","CHECKED_OUT","3M Fasara","Frosted Crystal 7725-324","60","30","23","2023-02-13","2023-02-13","16960","2026-03-23","","",""
"IL1-6781","CHECKED_OUT","Security","3M Ultra S800","60","68","0","2025-11-06","2025-11-10","4690","2026-04-01","","",""
"IL1-6784","CHECKED_OUT","3M Fasara","San Marino Milky Milky SH2MAMM","60","15","7","2023-02-13","2023-02-13","19093","2026-03-27","","",""
"IL1-6900","CHECKED_OUT","Madico","Optivision Reflective 15","60","100","0","2026-03-02","2026-03-04","19353","2026-03-20","","",""
"IL1-6922","CHECKED_OUT","3M Solar","Night Vision 35","72","30","10","2026-03-26","2026-03-30","4624","2026-04-01","","",""
"IL1-6923","CHECKED_OUT","Security","3M Ultra S800","60","100","43","2026-03-26","2026-03-31","4690","2026-04-01","","",""
